"","num","title","content"
"1",23987,"이건 엔프피가 나를 편하게 생각해서 그런거지?","상대는 엔프피 여자고 대학 동기임. 내가 학교를 늦게 들어와서 나이 차이가 좀 남. 막 엄청 친하진 않아도 마주치면 인사하고 한두마디 섞는 그 정도 사이? 가끔씩 연락하고 뭐 그럼.매번 그런건 아니지만 지나가다 마주치면 붙잡고 TMI ㅈㄴ 남발하는데 이거 그냥 내가 편해서 그런거지?"
"2",23991,"엔프피남 특","처녀or 유부녀 매우 좋아함"
"3",23993,"지인중에 엔프피 있는데","이것저것 많이 했었고 하려고 하길래"
"4",23996,"제가 관상을 조금 볼 줄 아는데 이분 ENFP일듯",""
"5",24001,"ENFP여자 말 해석좀","지금 좀 기죽은 듯이 힘든 시간 보내는 애인데둘이 가끔씪 술먹으면서 위로겸 노는데한 두어번 학부 때부터 알고 친했으면 좋았겠다 이럼이게 먼 소리일까"
"6",24002,"오랜만이다 ",""
"7",24003,"나 드디어 내가 ENFP라는걸 알았어","지금까지 내가 스스로 절대 E는 아니라고 살았고 "
"8",24004,"내가 생각하는 매력적인 여자 유형은","인티제녀임.매사에 성실하고, 친절함. 그러나 동시에 도도한 성격까지 합쳐져서 츤츤 조화가 형성됨.일할 때 휴게시간에 독서하고, 설명 요구하면 또 설명충 기질이 있어서 뭐든 깊게 설명하려고 하는 속찬 느낌도 좋고참을성 강한 성격도 좋고...안 꾸민 성숙미 있는 것도 좋고...예전에 짝사랑하다가 지금은 다른 데 가서 볼 기회도 없는데 많이 후회되는군"
"9",24008,"인티제녀 짝사랑 추억","말그대로 딱 1명 보고 환상걸린 수준인데 (난 enfp-t임)예전에 딱 한번 본 인티제녀가 너무 인상이 강렬해서 ㅠ 나랑 동갑인 애였는데 내가 걍 짝사랑하고 끝났다.진짜 얘들은 왜케 수가 적냐... 특히 여자는 진짜 1명밖에 못봤을 정도로내가 봤던 인티제녀는 수수한 스타일 + 미녀에 도도한 느낌에다가 굉장히 성실한 친구였거든. 휴게시간에 혼자서 독서하고 뭔가 골돌히 적는거 존매... 책도 존나 어려운 책 읽더라.. 딴세계 사람 같았다. 한국에 미녀는 많지만 그런 다른 특성들을 지닌 여자는 첨봐서미소짓는 것도 고혹적임. 웃을 때 소리 옅은 것도 ㅋㅋ그 친구는 회식을 한번도 안하더라. 퇴근 후 칼귀가인사성도 밝고 책 읽을 때나 안 읽을 때나 혼자 사색하는 모습 조금씩 힐끗 봤는데 아넘 귀엽더라.일하다가 본 애인데 지금 어디서 뭐하는질 모름. 카톡은 있는데 갑자기 먼저 연락하긴 좀 그렇고.. 인티제녀는 1년 전 일한곳에서 같이 일했던 동료가 갑자기 연락하면 얼척없어 하려나?그래도 직원들이랑 같이 얘기할 때 다른 직원들이 이것저것 인티제녀에게 물어봐서 그 여자 mbti가 intj-a인 것도 안거지. 먼저 말건 적은 일 관련 빼곤 딱 한번 ㅅㅂ 고백이라도 해볼걸 그랬나딱 한번 말건 건 내가 먼저 ""와 휴게시간 때 항상 책만 읽으시네요. 그건 무슨 책이에요?"" 물어본 거였는데. 그 질문했을 시점에 어떤 책 읽었는지 제목은 지금도 기억남 헤겔이 쓴 <변증법과 회의주의> 흰색 책궁금해서 ""저도 좀 봐도 돼요?"" 하니까 내 옆에 밀어서 보여주더라. 그런데 사람이 읽을 수준이 아니더라. 그래서 내가 ""와 이런 거 어떻게 읽으세요 ㄷㄷ 전 죽어도 이런 건 못읽어요. 전 머리가 딸려서"" 이러니까 그 인티제녀가 하는 말이 ""ㅎㅎ OO씨 칸트, 피히테, 셀링 공부 해본 적 없으시죠? 이 책은 헤겔 전 철학 지식 없으면 누구나 제대로 이해할 수 없는 책이에요. 반대로 전 철학 지식 있다고 했을 때 그 누구든 한 문장 한 문장 읽는다면 충분히 독해해낼 수 있어요."" 이렇게 말하더라. 그러고선 책이 쓰여진 계기도 말해주는데 그렇게 말이 없던 인티제녀한테서 말이 술술 나오더라ㅋㅋ 수수단발미녀가 친절한, 잔잔한 말투로 말해주니까 아 호기심+호감도 100만배 증가했는데 순간 좋아하는 감정 들킬것 같고 더 말걸면 ㅈㄴ 무식한 나를 싫어하게 될까봐 ""와 그래도 전..."" 이러고 걍 씁쓸하게 웃으면서 책 돌려주고 걍 폰으로 인터넷봄. 그런데 진짜 독서 집중력 오지더라너네들은 진짜 좋아하는 사람 있으면 고백이라도 해라... 미련남아서 계속 생각남.참고로 옛날 같이 일했던 동성직원이랑은 연락 쭉 해서 그 친구 물어본 적 있었는데 그애 좋아하는 애가 나만 있는 게 아니었더라 ㅅㅂ"
"10",24011,"여기다 처음 글 올려봅니다 이거 호감인가요?","이거 호감인가요? 제가 지나갈때마다 빤히 쳐다봐요. 저는 눈을 잘 안쳐다보는 성격이라 평소에는 그냥 모른척하고 지나갔는데 너무 뚫어지게 계속 쳐다봐서 저도 눈을 맞추니까 눈을 피하진 않았습니다.힌번은 웃으면서 저를 쳐다보고 있길래 뭐지 싶었는데... 저랑 자주 마주치는 곳은 같은 층 복도고, 그 여성분은 카운터직원이라 주로 컴퓨터 앞에 앉아계시는데, 제가 화장실에 다녀오거나하면 굳이 일어나서 물을 마시러 화장실 옆 정수기에 간다거나 돌아다니면서 제 동선과 자주 겹치는 느낌을 받았습니다. 그런데 말할때보면 좀 딱딱? 하다고 해야하나 뭔가 툴툴대는 듯한 느낌을 받았습니다. 친한편은 아니고요. 다른 남자 직원들한테는 장난도 많이 치고 항상 웃으면서 얘기하던데.."
"11",24013,"Enfp","카톡 텀 긴편임? 관심있는 사람 아니고 새로 사귄 동성친구 ㅇㅇ"
"12",24015,"혹시 설명 못하겠는 고집같은거 느끼는 사람?","다양한 분야에서 가끔씩 느끼는건데이건 직감적으로 좀 아닌 것 같다던지 잘못된 것 같다고 느끼는데그걸 좀 직접 설명하고 하려면 또 막히는데근데 진짜 내 말이 맞는데... 싶은 느낌 받는 사람 있어?간간히 이런 느낌 올 때마다 참 막막하다...그렇다고 고집피우면서 싸우고 싶지도 않고내가 설명하는 능력이 부족해서 그런가"
"13",24016,"엔프피 여성분들 이상형 어떻게 되나요?","호감가는 분이 생겨서요"
"14",24018,"엔프피남 관종이라는게 무슨뜻이야?","자기가 관종이라는데내가보기엔 막 나대거나 그러지않고 차분해보이거든관종이라니까 관심을 주고 관심욕구충족시켜주고싶은데어떻게 관심을 주면돼ㅜㅜ? 어렵다"
"15",24021,"ENFP같지 않다는게 뭐임","기분나쁘게"
"16",24023,"책 빌려준 여자손님 4주전에 오고 그후 편의점 한번도 안오면 뭐냐","난 주말야간 주2일근무 편돌이 "
"17",24027,"enfp남자들아","여친 진심으로 좋아하면 어떻게 행동해?? 내 남친 완전 댕댕이 같은데 원래 잘 앵기고 스킨십도 많은 편이야? "
"18",24028,"만났을 때 분위기 좋고 집에 안가려는데","연락이 너무 느리면 뭐임?소개팅으로 만났고 두번째만남이었음만났을 때 매력이 없거나 정털린건가  "
"19",24029,"내향적인 남자가 외향적인 여자를 사귀려면 어떻게 해야함?","그냥 다가가는 것 밖엔 없지?"
"20",24030,"엔프남 카톡할때","텀은 빠른편인데 되게 성의없이보내기도하고 다다다 몰아서 보내기도하고  만나면 재밌는데카톡할때는 별관심없는것같아서ㅠ할말없어서마무리멘트 하면 또 뭐라고 오긴해  연락끊기긴 싫은데ㅠㅠㅠㅠ 할말이없네 "
"21",24032,"MBTI별 조별과제 ","조별과제 6개 그중 4개가 랜덤조였음ESFJ INFP ESTP ENTJ 못 만나봄ISFJ INFJ 조장입장에서 보자면 개꿀 노예들 그잡채임. 본인 맡은일은 물론 빌런 때문에 오버워크 생기는거 맡겨도 군말없이 함. 보고 존나 잘함. 밸런스 완벽함. ISTJ INTJ 일단 1인분 하는거에서 본인몫은 다 했음. 조사 분석 제작 뭘해도 잘함. 발표만 안시키면 됨. 다만 얘네가 조장이 되면 높은 확률로 본인이 모든걸 맡아서 죽어나가는걸 볼수 있음. 그럴때는 날잡아서 무임승차자들 조지는 역할 맡아줘야함. 얘네 생각보다 좀 여림. 왜 인지는 모르겠는데 무임승차자를 싫어하기는 해도 대놓고 버리는 걸 잘 못함. INTP ENTP 생각보다 시키는거 해오고 퀄리티 나쁘지 않음. 근데 1인분까지는 아니고 한 0.7인분? 애매함. 본인이 맡은 일의 양이 다른 조원보다 조금이라도 많다고 생각들면 바로 반박함. ENFP ESFP 아이디어 뱅크 어쩌고 하지만 실상은 100개중에 한 3개 괜찮음. 차라리 정확히 방향이 정해지면 빠르게 초반에 담당할 업무를 주는게 나음. 마무리는 깔끔한 편이 아니라서 J한테 넘겨줘야함. EXXP들이 가끔 다른조꺼 들고 와서 넘겨줄때도 있음.ESTJ 존나 든든하고 다재다능함. 주의할점은 극 완벽주의인 애 걸리면 조원 모두가 피곤해질수 있음. 방향성은 얘네나 IxTJ 애들이 정하게 하는게 맞음. 그게 높은 확률로 옳음.ENFJ 조별과제 한참전부터 준비를 해둠. EXTJ 조장들이 완벽주의로 미쳐날뛸때 컨트롤 가능. ENFP가 조장이면 정신적 버팀목. 공평한걸 가장 추구함. 꿀빨게 되면 물질적으로라도 도움을 주려고 함ISTP 본인이 잘하는거 한에서는 사실상 초인급임. 그게 뭔지 빨리 파악하는게 중요함. 특이하게 손재주 좋은 애들이 이쪽에 많음. 다른조가 4시간 걸려서 만드는거 혼자 1시간만에 만들어서 개꿀빤적도 있음.ISFP 공교롭게도 무임승차로 0점준 애들 두명있는데 둘다 ISFP였음. 존나 악의없이 무능하고 게으르고 참여도도 낮음. 피코도 오지게 함. 걸러 시발."
"22",24034,"너의 구원의 애인, 짝사랑은 얼마나 지나온 자신의 남자들을 몸과 정신에 ","  받아들였을까 "
"23",24036,"Enfp여자를 짝사랑하는 isfp남자 궁금증","본인 남자고 제목대로 엔프피 여자를 짝사랑하고있다카톡연락은 서로 선톡도 하며 잘하는것 같은데만나자고하면 요즘몸도아프고 피곤하다고 약속잡는것보다즉흥적인걸 좋아한다라며 모르겠다하는데날 싫어하는건 아니고 그냥 남사친1 정도로만 보고있는거겠지?"
"24",24037,"짬뽕 VS 짜장면","ㅌㅌ"
"25",24038,"데이트 코스 어디가 좋아요?","여자친구가 엔뿌삐이고  장거리연애 1달입니다방잡고 이런건 별로 안좋아 하는거 같더라구요활발은한데 은근히 어둡고 어떤 데이트나 코스를 선호 하시는지..아니면 매일 똑같은거 하면 질려하나요?"
"26",24040,"별로안친하긴한데 ","나한테 별로 말안걸면 호감도 없는거겠지?"
"27",24042,"존잘 씹덕 엔프피남 너무 좋아ㅠㅠㅠ","진짜 너무귀염고 순수함 깨물어주고싶어"
"28",24043,"원래 자기 생활 있었던 사람이 사귀고","너무 다정하고 세심하게 너희 생활 돌봐주면 빨리 질리냐"
"29",24044,"난 그저 인프제가 너무 좋은것뿐인데..","인티제들은 왜자뀨 내글을 삭제하는걸까??"
"30",24045,"엔프피남 행동 해석 좀","같은 과 동기고 사람들이랑 여럿이서 같이 있을때는 개활발하고 장난도 많은데 나랑 단둘이 있을때면 갑자기 표정도 굳고 가끔 웃기는 하는데 걔 평소 성격만큼은 안 활발해 나 싫어하는건가? 싶으면 또 선톡은 자주함.. 과제 잘 돼가냐고 묻거나 이거 나한테 호감있어서 그러는거맞음??.. 알려주라"
"31",24046,"엔프피 짝사랑","나는 istj녀야원래 남자 잘꼬시거든근데 이 귀여운 엔프피 앞에서면자꾸 심장이 두근대서 뚝딱거리는거야연락은 안해봤어얼굴 본지는 3주 됐구..내가 술김에 첨본 사인데 키스했어그 뒤로는 연락 없었어 포기하는게 맞겠지..나한테 예쁘다고 하면서 활짝 웃는게 너무 귀여웠는데..진짜 보고싶다 엥뿌삐..3주나 지났는데 연락 먼저하는거 에반가.. ㅠㅠ "
"32",24048,"고민같은건데 친구들아 좀 도와줘ㅠㅠ","일단 난 엔프피남이야다른게 아니라 내가 고딩때부터 있던 약간 성격문젠데....나를 좋아한다(나한테만 하는 그런 느낌이 있는), 사랑한다 << 이런 말을 들으면 약간 스위치 눌려진거 마냥 그 사람이 점점 많이 좋아진단말야어이없는건 왜 그런 말 했냐고 물어보면 약간 내가 그렇게 만든대.................근데 이게 막 얼마 친해지지 않고도 술먹고 그러다가 술주정으로 그런 말을 하는거 듣거나해도 막 버튼이 눌려....... 그래서 지금 주변 사람들 말 듣고 정신 차리고 다시 예전처럼 생각할 수 있도록 또 맘고생중이란말이야........ㅠㅠ이거 어떻게하면 잘 고칠 수 있을까? 주변에서는 내가 너무 마음을 퍼주는거 같다고 그거 좀 고쳐보라 했단 말이야어떻게하면 잘 고쳐질까...ㅠㅠㅠ"
"33",24049,"너네 넘  귀여워","동성이든 이성이든 너네는 보고잇으면 막 뛰어다니는 강아지같음 그런면이 나랑은 달라서 너무 귀여워"
"34",24051,"전여친 심리 궁금해요 도와주세요","여자친구랑 헤어진지 11일차입니다 ..여자친구가 ENFP라서 여기 고민 글 남겨봅니다2년정도 사귀었고요 헤어진 이유는 우울증과 불안장애로 힘들어하는 본인이 힘든걸 말할 사람이 이제 아무도 없다. 입니다.저는 그동안 최선을 다해서 기둥이 되어주고 싶었습니다. 괜찮다가도 다시 돌아가는걸 반복하더라고요. 그래도 나아지겠지 나아지겠지 하다가저도 심적으로 지친게 컸던것 같습니다. 여자친구의 헤어지자는 말에 진심이냐고 물었고 잘 모르겠다. 그래도 말꺼낸 내가 책임져야겠지. 라는 대답으로 헤어지게 됐습니다. 저는 다음날 만나자고해서 계속 붙잡으려고 했지만 사랑하지만 모르겠다고 하네요.그 이후에 인스타를 계속 보고있는데 사진들을 내리질 않아서요 .. 같이 사진찍은거나 여행간것 데이트하고 사랑한다고 하는 댓글들까지요.정말 모르겠습니다. 알려주세요. "
"35",24052,"엔프피남 잘해주고 싶은데","뭐 사준다고 나오라그러면 됐다 그러고 자기가 사고나 진짜 사주고 싶은데 계속 못 사게 함ㅠ 왜 그러냐..내 맘을 받아조라 내가 사준다고 귀여운 엔프피야"
"36",24054,"날 좋아하는 사람 vs 내가 좋아하는 사람","너넨 누가 좋음? 난 날 좋아해주는 사람이 더 좋은데 이건 걍 자존감 차이인가"
"37",24056,"잇팁남 엔프피녀 가능성 있을까?","잇팁인데 최근에 회사에서 밥같이 먹으면서 알게 된 엔프피녀 있는데 첫눈에 반함. 엄청 밝고 말도 잘걸어주고 리액션도 잘해주고 안지 2주정도 지났음 여태까지는 티 안냈는데 티날정도로 적극적으로 대시하면 어때? 나에게 인간적인 호감은 있는데 남자로는 안보는것 같음. 선톡 보내면 30분~1시간마다 답장 오는데 계속 선톡 보내는게 맞을까?  "
"38",24057,"엔프피녀랑 찐친인지 호감인지 구분 어떻게 함?","찐친인 건지 호감인 건지 구분이 안 가는데 어떻게 알 수 있을까요... 제가 아는 어떤 엔프피는 제 상황이 썸 아니냐는데 괜히 잘못 짚었다가 멀어질까봐 무섭네요..."
"39",24061,"INTJ 남자가 쓰는 ENFP 여친 특","사귈땐 여자친구가 먼저 들이대서 사귄 INTJ야ENFP 여자친구 특징귀염뽀짝한데, 한가지 일을 깊게 집중못함.하다가 다른게 눈에 꽂히면, 그걸 해야지 성에 참.상당히 즉흥적임Ex: 여행가고싶다-> 동남아 여행 유튜브 -> 망고 -> 망고때매 싱가폴 감길을 걸을때도 길 끝자락 돌 보이면, 돌 밟고 걸어야함.같이 있을땐, 혼자 있고 싶어하는데, 막상 혼자되면 보고싶어함.말을 같이 많이 하는거보단, 들어주는 사람을 좋아함."
