"","num","title","content"
"1",13970,"entj들아","너네한테 다 맞춰주는 이성은 싫어?너네가 뭘 하든 기다려주고 뭘 하자 해도 다 좋다고 하는 사람"
"2",13974,"주변 ENTJ 보면 말투가","사극체쓰던데 님들도 그럼?"
"3",13975,"비추만누르지말고 욕이라도해줘...","밑에 고민글 쓴 사람인데... "
"4",13978,"일 많이 안하면 entj아님","나는 만날 일하기 싫어 입으로 지껄이지만항상 일하고있음가족들이나 친구들이 늘 내게 하는 말일 좀 그만해건강 해치겠다 좀 쉬엄쉬엄해그 정도 벌면 충분하잖아?다 이런 말들임살면서 이 말을 1년에 200번 이상 못 듣는다?열심히 일하는 인물이 아니라는거고Entj가 아니란 뜻임"
"5",13980,"일중독자 새기들 일하느라 글리젠안되는것보소","일그만하고 갤질해라"
"6",13983,"ENTJ 여자애 귀여운거같다ㅋㅋ","솔직하고 조잘조잘 지할말 다하는데 귀여워ㅋㅋ태어나서 이런성격 여자애는 처음봐"
"7",13987,"명문대도 아니면서 entj인 주변 지인 꼴같잖음ㅋㅋㅋ","특히 지잡인데 자기 entj라고 소개하면 ㅡㅋㅋㅋ"
"8",13988,"ENTJ녀랑 대화하다 당황한썰","알바한 얘기했는데저 알바 한군데서 일년 넘게했는데 한번도 지각안했어요하니깐 당연하죠 이럼ㅋㅋㅋㅋ난 오.. 대단하다 뭐 이럴줄알았는데ㅋㅋㅋㅋㅋㅋㅋ"
"9",13989,"어렸을때는 entj가 아니였을지도 모른다","mbti가 무엇인지 몰랐던 시절 내가 어땠는지 어떤 유형이였는지 잘 모르겠음"
"10",13990,"ENTJ는 을의 연애는 안하겠네?","맞아?본인이 더 좋아하는 연애하는 경우는 잘 없음?"
"11",13991,"저 눈 어떰",""
"12",13992,"뭔 직장이든 불법아닌(다단계,유사사기 • •) 직업들중에 월 천오백이상버","월 천오백 이상버는 엔티제들 모여봐라 불법 유사사기로 돈버는새끼들은 꺼 ~ 지고 당당하게 세금ㅈㄴ많이내는 억울한 애들만 들어와봐1500이상벌면 어느정도 중산층은아니란 소린데 만약 번다면 가족버프를 받은 수저덕분이라든지혹은 본인이 잘나서 개천에서 용났거나 자수성가한 인간인지인생에 우역곡절은 어떤때애 마주했는지 (내가본엔티제들은 스스로를 벼랑끝까지 몰아가서 아주 죽는다각오로하더라고? 죽기각오가 어감이아니라 실제로 죽는다 아니면 이겨낸다 거의 이 급이여서 보는내내 내가 처연하더라)뭐 엔티제갤에 진짜로 잘난애들이 얼마나 들락날락하겠냐만 그래도 올려본다잘되는 사람한테 하나같이 물어보면 운이 좋았다 어쩌고 이런운타령을 하더라고 본인이 좋아하는걸 해라 등내생각엔 이런부류사람들은 그냥 운대로 타서 누가만들어준 흐름을 타서 본인이 잘됐기보단흐름이 생기도록 만들고 그게마침 타고다닐수있게 강이된 맥락같음한마디로 이사람들은 남들이 아이고미치겠네하는 10번의 시도라면 이들은 100번의 시도를 해서 10번의 시도때에 미치겠네 이딴 소리를 안한다는거지 한마디로 총량으로 봐도 이들이 압도적으로 많다는거그럼 내가 파악하기론 잘나게 된것조차 본인의 역량이라 생각하거든? 너네는 어떻게생각하냐? "
"13",13995,"entj 칼답은 아닌데 계속 톡 이어가는거 ","관심이 있는거야 없는거야? 단답은 아니고 성의는있는데 텀이 개오바임 "
"14",13996,"공부잘하는건 s임 엔티제는 지능 7위 학업성취도 7위","의사 박사 슈퍼리치 분포도도 압도적으로 s 명문대 성격유형 검사해도 s가 압도적지능도 s랑 p 내향이 높음(연봉 평균은 엔티제가 젤높음n이면 하나하나 따지고 들어서 시키는 학과 공부 잘하기 쫌 힘들긴 할거다 ㅋㅋ (한국 교육체계 붕괴 시키라고 하면 제일 앞장설 사람들이 엔티제일듯작가나 기자 법 방송예술은 엔티제 많을거임사장은 n이고 직원들은 s가 많을둣암튼 밑에 엔티제가 학과공부 잘할거라고 생각하는거 같아서 전혀 아니라는점 알려줌 물론 중위권 이상 이긴 함 근데 생각이 많음 공부는 머리를 비워야함그래서 s랑 n 성향 고르게 키우기를 권함........................은 개뿔 파워 N"
"15",13997,"비추잔뜩박힌 무관심 속에서 연애성공햇다","어제 이시간만해도 "
"16",14000,"사람 안 쓰고 월소득 3천까지 올라감 ㅅㅂ","진짜 사람 아예 안 쓰고 혼자 다 하려니까 배울 게 존나 많네사람 쓰는 게 편하긴 한데 짐승새끼들이 먹고 튀는 게 하도 많아가지고좀만 더 자동화 시켜서 1인으로 더 크게크게 가야지시발 것들"
"17",14001,"이런 취향 어떻게 설명하면 되냐?","이런 몸매 아니면 안끌려"
"18",14004,"나만 지하철탈때 앞사람 개빡치냐?","몇년을 타도 적응되지않음 처음보단 덜빡치지만ㅈㄴ 바로 지하철 전정거장에서 오기직전이라뛰어가면 탈수있는데 뛸거면 뛰고 안뛸거면 차라리 포기하고 걷던가 앞시야 일부러 막는건지 뭔지 안비켜주고 뒷사람오는거보고 제대로뛰지도않고 뛰는둥마는둥 그러면 놓치는데 왜뛰는걸까? 여자가 그러면 하 빡치는ㄴ이네 남자가 그러면 한남새ㄲ 나오는데 내가 화가많은거냐?적어도 남한테 피해줄생각을 하면 안되는게 인간의 도리아님? 얼마나 못배워처먹었으면 남앞길을 막음? 지하철에서만 그럼? 잘나가려하면 이악물고 바지끄렁이 잡고 끌어내리려하눈데 이렇게 똥글인데 밖에서는 유쾌인싸인데 솔직히 인간혐오 안들고 배기는 세성임? "
"19",14007,"너넨 여기 갈거야?","본인 복학생이라 1학기 때 개총 빠지고 엠티 빠지고 걍 다 빠져서 과에 친구 없는 상태친구 사귀고 싶어서 2학기 때는 개총이랑 엠티같은 과 행사들 참여하려는데 너무 무리임?"
"20",14008,"개인적인 엔티제들 호불호 갈리는 기준은 지능이었어","엔티제는 이상이 커서요구되는 지능 수준이 높은 타입같음이 때 시험잘보는 능력말고내 목표를 이루기 위해 수단과 방법을 가리지 않는 지적능력이 많이 필요한데자기가 이루고 싶은 목표보다 능력이 부족하면허상에 둘러쌓여서 허세쪽으로 가는 듯그럼 좀 꼴보기 싫어짐 왜냐면 자기는 잘났다는 허상에 쌓여있고괜한 헛자신감으로 남들 깎아내리거나 너 내가 이끌어줄게 이런거 함대신 능력이 충분하면자기가 이루고 싶은 거 이루느라고 바빠서남 깎아내릴 시간도 없고 그냥 잘 사는 듯거만하지도않고 비굴하지도않고 걍 자기길 잘 가는게멋있어보임 배울 점도 많고여러 갈래의 이야기가 있지만하나로 귀결시키면 지능의 수준이 핵심인것 같음.특히 높은 지능을 이용해서수단과 방법을 가리지 않고과거의 자기의 상처까지도 건강히 극복을 했느냐?이게 자기는잘났다는 허상에 살거나제대로 현실에 발디디고 잘나게 살거나를 가르는 분수령인듯 해.엔티제들 좋아함 모두 건강하면 좋겠다"
"21",14009,"25살에 인생이 망했는데 궁금한게 생겼음","내 인생은 망했음 "
"22",14010,"성공을 못했다 = 지능이 낮다","그냥 이건 어느 분야든동일엠비티아이 의미없이 성공못했으면 객관력떨어지고 지능떨어지고 능력떨어지는거임"
"23",14011,"ENTJ 남인데 여자 외모 잘 안보는거 같음","눈코입 잘 붙어있고 사지 멀쩡하면 됨대신 흥미를 갖게 되는 기준이 능력이라남들이 보기엔 그저그런 외모라도 능력있으면 관심가고 흥미생기고 친해지고 싶어짐반면 몸매도 쩔고 ㅈㄴ 예쁜데 직업이 없거나 상식이 결여되어있으면 흥미 안생김"
