"","num","title","content"
"1",617509,"그 무슨 꼭 읽어야할 명작 소설 리스트","그걸 다 읽고 나면 내 뇌에 무슨 작용, 변화가 생길까?? 생각 해 본 적 있는데"
"2",617510,"ㅌ요","ㄹ요"
"3",617511,"성폭행이 아니라 지켜준거랑께","를 이은 그냥 생각이 궁금해서 간첩이랑 접선한거랑께 "
"4",617513,"겁나 커여운 인절미짤을 주웠는데"," 안락사 당했대서 슬픈거보다 자짤로 못써서 안타까우면 싸패냐와 "
"5",617514,"소드 얘기가 나오면 글삭당한다는게 사실인가보와요","와타시쟝의 갤로그는 폭파 안당해서 다행이다와 "
"6",617515,"너네 넷지오식 브랜딩 어케생각함","한국 회사(더네이쳐홀딩스)에서 라이센스 사서 로고 붙여다가 파는중인 이거말임 "
"7",617516,"인팁쟝은 자아성찰을 열심히해야한다와","잦이든 봊이든 이상한 넘들은 다 인팁 스펙트럼에 근접해있다는걸 부정하기란 어려운 사실인거시와요 "
"8",617517,"주펄은 아직도 욕먹던데 좌착맨은 어찌되었냐와","좆튜브 자동재생 해놨다가 몇번 넘어간적있어서 거슬리는거시와요 "
"9",617519,"퍼리충에겐 물리치료가 필요하다와","커여운 갓냥이로 이게 뭐하는짓이와요 "
"10",617520,"인팁쟝은 조심해서 살아야하는거시다와","시비거는 말투와 무표정 "
"11",617522,"너네는 다들 내일 쉬냐","내일은 모든한국인이 쉬는날인거냐"
"12",617523,"오늘 디게 신기하게 생긴 건물을 봄","뭔가 뒤틀린 이세계의 호텔같아 이름도 이상하고…"
"13",617524,"우리학교 신기한 것",""
"14",617526,"오펜하이머 개봉시기 ㄹㅇ절묘하노 ","ㅋㅋ 내일 미어터지겟네  "
"15",617527,"올해는 여름인데 모기가 며칠 안보인거같음","5월에 잠깐 시달리고 6월부터는 못본 기분 "
"16",617529,"이정도면 모두가 탐낼만하지않냐","준수한 패션"
"17",617530,"너희 폰 배경화면 뭐야",""
"18",617534,"폰배경화면은니미","계집애냐?"
"19",617535,"내폰배경",""
"20",617537,"구질구질","집구석구질구질해 "
"21",617539,"피지는 짜도 짜도 계속 생김?","코 모공 넓은데 거기 돌같은 피지가 계속 차오름  "
"22",617540,"인프피 갤 댓글창 심각하네",""
"23",617543,"남사친 고추사이즈 들어버림","대물이고 키크고 잘생겨도 노꼴일수가있구나"
"24",617544,"원래 인프피들 수동공격 많이함?","불만있으면 대놓고 얘기하면 사과할텐데 계속 빙빙둘러서 까노"
"25",617546,"일곱시쯤부터 잤오","좀 상쾌해좋아좋아행복해"
"26",617547,"entp 4w5 7w8 8w7 맞나","ㅇㅇ "
"27",617549,"요청하지않은자짤가져가라이기",""
"28",617553,"나지금오펜하이머때문에어지러워","내일사람이얼마나많을까상상하기도싫다"
"29",617554,"최근에 젤 재밌게 읽은 책 하나만 추천 부탁","한글로 써진거라면 뭐든 다 읽습니다 소설 추천 아주 좋아해요 "
"30",617557,"광복절 기념 아오조라 히카리 매드무비 '불법'으로 보는중","맛이어떠냐 왜놈들아 깔깔"
"31",617558,"나 좀만더어렸으면 내일 이거 해봣을거같음","영화관앞에서 미니태극기(3000원) 팔기"
"32",617559,"못생기면 안 어올리는 유형 뭐임","ㅇㅇ"
"33",617563,"여자 머리스타일보고도 유형유추함","TJ 효율추구인데 머리 가슴까지 기르는 거 말이 안됨 그게 무슨 비효율인지  "
"34",617564,"TJ FJ 차이 여자 ㅡ 머리스타일 "," TJ 계산적이게 성실함 "
"35",617565,"INXX 얘들이 가장 못생기면 안되는애들인데","실제론가장못생김"
"36",617566,"일본 여자들은 왜 다 생긴게","좀 애매함? 일본 여자 연예인들 중에는 이쁜 사람 좀 있던데 일반인들은 뭔가 다 애매하게 생겼노"
"37",617567,"ㅖㅏ",""
"38",617568,"자낙스를먹어라얘들아","자낙스먹어라얘들아자낙스는신이다 그가나를고통속에서구원하고 불면속에서재워주며 무한한엉겹의인고의시간을버티게해주신다 자낙스 자낙스를먹어라 "
"39",617569,"아!!!!!!챗지피티 씨발아","니때매 개념을 다시 공부해야 아!!!!!!!!!!!!!!!!!!!!! 존나 빡침 그래도 빡침이 좋은 pdf을 구하게 해줌 "
"40",617571,"미용실 가기 두려운 이유","돈 ㅈㄴ 깨짐 다운펌에 반꼽슬이라 매직까지 하는데 돈 ㅈㄴ 나감"
"41",617572,"와씨ㅏㅂㄹ임신한꿈꿨음","한 5개월 된 그런 ㅇㅇ그 상태에서 여행감임신했다고 옆에서 챙겨주고 그런거 좋더라먼가먼가먼가먼가먼가임애 낳기 싫은게 확실한데이런꿈꾼거보면낳고싶은마음이조금은잇긴한가"
"42",617574,"지금기분이 ㅈㄴㅈㄴㅈㄴ","조옫나안좋은데 술마시지말까 "
"43",617575,"요즘꿈을진짜하나도안꿈","야한꿈꾸고싶다"
"44",617577,"선도반소","815니까치마까지게폭주나뛸까쇼바이빠이올리고 "
"45",617579,"진짜 호시노 아이는 전설이다...","결혼한다면 호시노 아이 같은 여자랑"
"46",617581,"츄러스먹고싶다",""
"47",617582,"나 이번년도 들어서 코딩 첨 했는데","지피티한테 물어가면서 A받았음 지피티는 신이다 "
"48",617583,"돈 많이 쉽게 버는 방법 추천 좀여","웅"
"49",617584,"에휴 화그만낼란다","맥주나 좀먹고자야겟음 "
"50",617585,"이런 글 쓰는 애들은 인팁임?","ㅇㅇ"
"51",617586,"오늘애 저녁&술안주","소갈비살 국수 쏘주 "
"52",617587,"캐비어 맛잇냐?","나만 못 먹어봣는데 ㅜ "
"53",617588,"8월 18일이나 빨리 왔음 좋겠다","권지용씨의 생일인데피마원에 뭐 나오면 바로 사버릴라니깐데이지 후드 하나만 더 내다오..."
"54",617589,"집언제가지","공부할거 끝이 안나..."
"55",617590,"고백안하고 슬쩍 사귀는것도 재밌을텐데","난 내가 너랑 계속 만나고싶다 너 마음에 든다 좋다 이런식으로 들이대서 만난거라서 좀 그런 뜨뜻미지근한 그런건 없었거든 썸 길어졌을 때 끝이 안 좋았던 기억밖에 없어서 상대방 페이스에 못 맞춰준다고 해야하나 이런건 미안하구만 근데 뭐 만나고 있을 때 잘해주면 되겠거니 함 응  어쩔 콱씨 "
"56",617591,"오랜만에 삼촌이랑 전화 했는데","나보고 엄청 살가워졌다 그럼 ㅋㅋㅋ"
"57",617592,"나 어제도 게이로 오해 받음","ㅇㅇ"
"58",617593,"삼국지를보니좀낫구만","현실을외면하기로햇다 "
"59",617594,"허허허 퇴요 퇴","오늘은 좀 마니함"
"60",617595,"아니 인간적으로 1학기 회장 부회장 했던 애들은","2학기 때 안 나와야 되는 거 아니냐 ㅅㅂ 아니 생기부 좀 나눠먹자 시발련들아 한번 했으면 그만해라 ㅈㅂ.. 부탁이야 사람 한 명 살리는 셈 치고.. 아니 선생님들도 어이없음 왜 2학기도 나올 수 있게 하냐고 ㅅㅂ 중학교 때도 2학기 때 또 나오는 건 안됐었는데 시발 "
"61",617597,"나 참치랑 김이랑 넣어서","밥이랑 비벼 먹을거임 근데 침대에서 일어나기 귀찮"
"62",617598,"부회장하고 선거 한번 더 나오는게 뭔 상관임","실력되고 자신있으면 나오는거지 전라도 마인드 ㅋㅋ "
"63",617599,"그래 나와봐라... 내가 발.라.줄.테.니.","하지만 올 1등급 그를... 이길 수 있을 것인가...! 시발시발 엔갤 완장 고티제의 현생 완장 쟁탈전 시작 "
"64",617600,"오락부장 입갤이요","네 "
"65",617602,"솔직히시급두배줘야함","5연근박아놓곤ㅈㅓㄴ부바쁘면어쩌라는말이냐"
