"","num","title","content"
"1",6371,"나는 엣프제가 정치질한다는거 1도모르겠음 ","남사친 엣프제아는언니 엣프제직장상사 엣프제인데 1명도 나 정치질한적 없음난 isfp임 ...오해있으면 ""혹시 너  이렇게 얘기했어?""라고 꼭 확인하고난 좋던데?정치질 당한적 한번도없는듯정치질이 아니라 그냥 잘못한 거를 비판한거아님??그런경우는 있겠지 상대가 잘못을 해서 친구에게 이야기하는것..이거는 누구나 다 그러니... 오히려 엣티제 엣팁 엣프피 이런애들이 잘못도없는데 정치질해서 빡친적은있음 얘네들이야말로 잘못도없는데 그냥 조용하단이유로 깔보고 까내리고 정치질함아무튼  내가겪은 엣프제는  잘못도 안한사람 정치질하고 그러진않아 ... 정치질 끝판왕은 저 3인방임."
"2",6372,"ESFJ 호감 질문이에요","저는 INFP인데요. 꽤 오래 연락을 했지만은 매일 연락하진 않았어요.처음에 전화를 통해서 알게 되었는데 전화가 너무 재밌어서 카톡으로도 넘어갔지만, 카톡은 그리 재밌지 않더라구요단답은 아니고 질문도 가끔 하지만 또 텀은 길고,각자 삶이 있으니 강요할수도 없고, 해야되지도 않으니까 연락하다가 언제 보자 라고만 하고 연락을 안 했었어요.2주 연락하고 1주일 쉬고, 슬 놓을까 했는데 갑자기 그 분이 술 드시고 잘 지내냐고 연락하시더라구요.그래서 아예 관심이 없는 건 아닌가 싶기도 해서, 다시 또 연락하다가 만났어요한 5시간 정도 같이 커피도 마시고, 저녁도 먹고, 술도 마시고 했네요마지막에는 그 분이 팔짱도 끼고, 또 잘 들어갔냐고 3통이나 전화도 주시긴 했지만은 사실상 호감인지는 모르겠어요.가치관도 맞기도 해서 궁금은 한데 저도 너무 좋다까진 아니지만 이 분이 어떤 타입인지를 모르니 어렵네요거리가 막 가까운 동네는 또 아니기도 하지만 보려면 1주일에 한번씩은 만날 수 있을 듯 하긴 한데, 그 분이 호감이 아니라면은 저도 더 길게 가고 싶진 않아서요.방금도 카톡하시는데 끊고 싶으신가 해서 주말 잘 보내세요 했는데 네네 이렇게 답장이 와서 그냥 머엉합니다... 어떻게 보이시나요?? "
"3",6373,"INTP랑 ESFJ랑 뭐가 있긴 있나봐","동성말고 특히 이성관계그 중에서도 INTP남이랑 ESFJ녀 커플 은근 많은 듯?"
"4",6374,"살면서 한번도 안바뀐 ESFJ 그 자체가 전합니다","ESFJ기본적으로 스스로가 생각하기에도 참 외향적인 성격인데 관계없는 세상이 너무 힘들다.일단 누군가와 나와 이야기로 소통하는 그 시간 자체가 너무 즐겁고 좋다. 가장 친한 친구던, 택시기사가 됐건 누군가와 이야기하는게 거리낌없고 다가가기도 어렵지 않다.이 유형은 자존심은 몰라도 자존감은 매우 높아서 나 자체가 너무 사랑스럽기도 한데, 그래서 그런지 좋은일이든 부끄러운일이든 남한테 말하는게 거리낌없다. 그냥 나 자체를 남한테 보여주는게 참 쉽달까그래서 이 유형이 말하는건 걍 있는 그대로 받아들여도 큰 문제가 없다 그냥 있는 그대로니까.그리고 남이 말하는 것, 행동, 버릇 캐치를 상당히 잘 하는편이라 남이 듣기에 달콤한 말을 참 잘 골라서 해주는 편이 사람의 진가는 저 달콤한 말들로 여러 업무적인 어려움 속에서 에너지를 끌어내는데에 발군의 능력을 발휘함.일반적으로는 이렇고연애나는 ESFJ 남자다. 같은유형 여자는 잘 모르겠고, 우선 기본적으로  다정하고 상대가 불편한건 없는지 수시로 체크하고 상대의 행동을 놓치지 않으려고 애쓴다 그리고 기억해두었다가 그걸 만남마다 써먹기도하고.근데 이 유형은 상당히 생각을 넓게해서 상대가 ""불편""의 기색을 드러내면 오만가지생각이 들면서 어디서 불편했는지 하루웬종일 생각하며 집중을 못하게 된다.그래서 ESFJ에게는 ""내가 이래이래서 불편했어 다음엔 좀 생각해줬으면 좋겠어"" 라는 자세한 설명이 필요하다.그리고,, 여러 찌라시중에는 금방 불타고 식는다는 것도 보이긴 하는데 그건 사람마다 그냥 다른듯 하다.분명히 하고 싶은건 보편적으로 ESFJ에게 인간관계가 많아서 다 챙기느라 너(애인)에게 소홀한 것이 아니라, 어떠한 가시적으로 드러나는 표현이 없기 때문이다.""나한테 관심좀 가져"" vs ""와줘 보고싶어 진짜""극단적 예시일지 모르나 전자는 며칠동안 못볼수도 있는반면후자는 1초만에 당신앞에 나타날수도 있다. 이정도로 표현에 민감한 작자들이다.직장ESFJ에게 설명을 좆같이 하는 상사에겐 똑같이 나도 아무것도 안하는걸로 되갚아준다.나에게 어떠한 업무의 목표와 하는방법의 시범을 똑바로 보여주고 책임을 얹는다면 기꺼이 수행하겠지만 조금이라고 떠맡기는 냄새가나면 온힘을 다해서 이 일을 안하고 토스하거나 되돌려준다. 책임을 물론 중시하지만 이 유형에겐 책임을 어떻게 지라는지 알려줘야만 이들은 납득한다.방법을 잘 제시하면 가장 충직한 부하직원이 될 것이다.단순책임만 넘길경우 직장이 지옥도로 변한다.왜냐면 이들은 이제 인맥을 동원하여 회사에 반골의 기질을 드러낼 것이기 때문.일처리도 이제 지멋대로하는 나쁜놈을 마주하게 될것이다.불만표현을 말로하지 않는다.앞에선 ""예~ 예 그렇죠 뭐 ㅎ""뒤에선 ""나안해 시발 어디 내가 어디까지 어깃장놓는지 보자""인싸어느정도 차이가 있지만 기본적으로 칭찬과 관심을 갈망하고 그에 맞게 여러 친구그룹이 있다.분위기 메이커이며 대화를 주도하기도하고 즐거움을 준다고 생각한다. 어디가든 그룹을 만들고 모임을 조직하려는 성향이있고 그 모임에 헌신적이다.좋은얘기했으니 이젠 단점.ESFJ가 분노하면 물불 피아구분 이런게 전혀없다뚜껑이 터져서 다 뒤집어 엎고 그게 사람이라면 그 사람을 지옥끝까지 처박아야 분이풀린다. 물론 그러기까지는 꽤 많은 인내을 거친과정이고 그 인내심을 남에게 잘 이야기 하지 않다가 어느순간 팡 터져버린다. 근데 그 타이밍은 정말 아무도모른다..나조차도.. 갑자기 개씨발하고 튀어나와버림.한번 눈에 꽂혀서 미움받는 상대는 너덜너덜할때까지 잔인하게 찢어버린다. 물론 이런일은 1%확률도 안된다고 생각하는데 한번 저런일이 생기면 잔인해진다.앞서 얘기한대로 인내심도 있고, 동정심이 많은편이기 때문에 나와 어떠한 적대적 관계에 있는 사람이어도 신경쓰는 버릇이 있다.사람이 구석에 처박혀서 있는꼴을 못보다보니 이것이 정신적으로 손해를 보는경우가 꽤 있다.표현 하나하나에 상당한 의미를 찾는다.기본적으로 관종 DNA가 탑재된 사람들이라 별거아닌거에도 의미를 담고 생각을 하는 경우가 꽤나많아 정신의 피로도가 극심하다.눈치가 있는데 행동이 느린편케바케일듯 한데 눈치는 상당히 빨리채지만 의심이 있어 행동이 느리다. ""~~인것 같은데.. 진짠가?"" 하는 사이 시간은 흘러서 ""아 그때 이렇게.할걸""이라는 결과를 초래한다.가식(?)이 유형은 가식이 참 많다. 변화무쌍하다내가 챙길거 참 잘 챙긴다. 남에게 시간투자하는 시간이 많는데도 불구하고 찰나의 짬동안 나를 다 챙겨놓는다.이 유형은 내가 가진걸 다 드러내는듯 하지만 마음속 깊은것은 절대 거의 드러내지 않는다.깊게 아는 상대만이 나의 깊은비밀을 안다.남의 뒷담할때도 나의 생각보다는 상대방에 맞춤형 뒷담 해주는편.그러고 속으론 딴생각한다. ""시벌 모라는겨""구냥 살면서 한번도 바뀐적 없는순수 ESFJ로써 드는 생각을 살짝 적어보았는데참고할만 하다고 생각하고 보는분들 도움이 되었으면 돌겠네요 MBTI는 같은유형 안에서도 천차만별이니 적당히 걸러서 보세요"
"5",6375,"재테크 잘하는 게으른 백수 아내 vs 투자로 재산 말아먹는 의사 아내 ","엣프제는 누굴 선택함?"
"6",6376,"엣프제남이 남친임 ","바람불면 날아갈까 손닿으면 부서질까 내가 무슨 공주인줄 알음 이상한 장난쳐도 절대 화 안냄 웃기고 ㅋㅋ항상 최선을 다해줘서 고마움집 청소만 좀 잘햇으면 좋겟음 ㅋ 사랑한다~"
"7",6377,"너넨 관심없는 사람이랑 연락 몇시간씩 가능?","궁금해내가 엣프제가 주변에 없다보니 뭐 아는게없네"
"8",6379,"엣프제들은 원래 이런가여","엣프제남을 처음 만나봤는데 되게 잘맞고 빠른속도로 친해졌어요안지 1주일 조금 넘었는데, 연락도 자주하고 술도 마셨고 전화도 하고..? 근데 막 너랑 결혼해야겠다~ 너에 대해서 더 알고싶다 예브다 어쩌고저찌고 이런말을 많이 하셨는데 원래 조크를 많이치는 성격인건가요 진담 반 농담반인가요??...,, 제 절친도 엣프제인데 주접떠는게 둘다 똑같아서 신기하네요"
"9",6382,"나한테 관심없는애 꼬시는법","같이 알바하는데 일끝나고 다같이 술먹고나서 단둘이 술먹은적도 있고 취하면 막 스킨십하고 그러는데 낮에는 연락하면 대부분 단답이이고 질문도 거의안해 근데 또 답장은 빨라  ㅠㅠ 나한테 관심이 없는거같은데 어케꼬셔야할까"
"10",6384,"Esfj 분들 다 이런가요","나 타유형 entj intj 번갈아 나오는 사람임.내 주변 esfj들만 이런 걸 수도 있는데,내가 뭔가 말을 하면 표현만 살짝 바꿔서 같은 내용 또 물어보거나내가 말한 내용에서 조금만 생각해보면 금방 유추할 수 있는당연한 사실을 다시 물어봄...이 갤에 있는 esfj들도 그럼?"
