"","num","title","content"
"1",6168,"esfp 연락문제","사바사긴한것같은ㄷㅔ esfp(남) 연락잘한다는데얜 연락 잘하는타입아니고 어느순간부터 일정을미리 얘기안해뭐하냐고물어보니까 밥먹는다길래 촉이들어서어디서 누구랑? 하니까 친구들이랑 있다고 갑자기 인증샷보내주더라고? 근데 이런거 내가 미리얘기해달라고 계속말했는데지긍 말했잖아. 라고하길래 걍 나도 연락해달라 집착하느니똑같이하는게 속편하다싶어서 똑같이햇드니 지도기분나쁜티내그럼 앞으로 esfp남이 선보고를 하게하려면계속 똑같이 물어보면 알려주는게 나을까? 아님 그냥 원래대로 내 성격대로 미리 일정을 알려주는게 나을까?난 모아니면 도라서 같이할거아님 나도신경안쓰게 안하고싶은데이기적으로 굴어서 짜증나ㅠ 쟬바꾸던가 날바꿔야해..."
"2",6170,"엣프피 남친이랑 할말이없음","난 인팁인데남친이 엣프피라 말 ㅈㄴ 많을 줄 알았는데나랑 통화만 하면 정적… 너무 너무 너무 어색함근데 또 다른 친구들이랑있을땐 말 ㅈㄴ많고 이상한 컨셉잡으면서 또라이처럼 놀음 엄청 시끄러워..,나랑 있을깨만 너무조용해 ㅠ 왜그럴까.. 썸탈때부터 그럼. 지금 100일인데 아직도ㅠ"
"3",6171,"ESFP 남자들은 여사친 제재시키면 싫어함?","여사친이 ESFP썸남한테 자꾸 카톡한다네그 여사친이 나랑 ESFP랑 썸타는지 모르는 것 같긴함. 나도 뭐 남사친들 있긴하니까 썸남이 여사친이랑 가끔 카톡하는 것 까지는 이해함 근데 내가 누구랑 사귀고있다, 썸타고있다는 티는 좀 내줬으면 하는데 이런거 요구하면 ESFP 싫어해?"
"4",6174,"너네 많이 떠보는 편이야?","카톡 할 때나 그냥 평소에나랑 있는 거 싫어? 나 갈까?아니면(놀자고 약속 잡고)어 나 이날 안되면 어떡하지?이런 식으로 엄청 떠봐..한 두 번이면 모르겠는데 내가 이미 나는 너랑 노는 게 즐겁고.. 같이 놀고 싶다고 여러 번 얘기 했는데도 이러니까 좀 피곤해..."
"5",6177,"ESFP가 계속 만나는거","상대방이 ESFP여자인데 카톡은 텀은 어쩔때는 칼답이고 어쩔때는 1~2시간 텀인데 단 둘이 만나는건 일주일에 한번이상은 만나요.근데 만날때도 그렇고 카톡도 그렇고 본인 일상 얘기나 할 얘기는 많이 하는데 저한테 궁금한건 딱히 없는거 같더라구요...이거 저한테 이성적 호감은 없는거겠죠.,?"
"6",6178,"좋아하는 티 어떻게 내","연애 1번 해봤고 4년동안 안했어 "
"7",6179,"사람 실망스러운 거","안녕 나는 타유형이야궁금한게 있어서 글 남김인간관계를 맺어 가면서 실망스러울 때가 있잖아나는 매번 상처 받았음에도 새로운 사람을 만나면 또 이번은 다를거다(?)라는 무의식적 생각이 듦 내가 인위적으로 하는게 아니라 무의식적으로 좋은 사람이다 생각하고 처음부터 잘해주고 그런단말이야근데 역시나 자주 만나고 같이 일하고 하면실망스러운 점이 보여나한테 무례하게 군다거나같이 일하는데 일을 싹다 나한테 미룬다던가덮어씌운다던가그럼 나는 차곡차곡 쌓고 다시는 상종 안하겠다는마음이 들다가 언젠간 결국 손절하거든?근데 사람들보면 처음엔 오히려 잘 대해주지 않고 기싸움하고 티격대격하다가또 실망스러우면 같이 욕하다가어느 날은 또 잊고 잘 지내고 그러더라고내 입장에서는 이해가 안 가는데또 내가 실망한 사람들은 나한테 무례했던거 다 넘기고우리 마지막이 좋았잖아(마지막을 좋게 마무리 하려고 내가 참은거지)계속 연락하자이런식이야난 정말 뻔뻔해서 소름돋고 손절함이게 나는 한 번 잘못하면 쌓고 못잊는데다른 사람들은 잊고 잘지내는지 잘지내는 척을 하는지성격이 문제인지아님 자존감이 낮은건지예민한건지처음부터 호구같이 군 내가 잘못인거지?기싸움을 해야하나봄다른 유형은 어떤가 궁금해서 써봄"
"8",6184,"너희들은 경계심 많아?","너희는 경계심이 많은 편이야??호감  표시는 어떻게해?  ㅠㅠ"
"9",6186,"● 오늘마감!! 국회의원 30명 늘리는 법안 반대부탁!","[2118328] 공직선거법 일부개정법률안 (김영배의원 등 10인)https://pal.assembly.go.kr/law/readView.do?lgsltpaId=PRC_Y2U2V1U1R1U8F1E2P0L9W1T5X9I0J7국회의원정수는 330명으로 하며, 지역구국회의원 220명과 비례대표국회의원 110명으로 하여 2:1의 비율을 유지하도록 함-> 국회입법예고시스템 사이트의 진행중 입법예고에서도 검색 가능"
"10",6190,"ㅁㅌㅊ인생인지 진지하게 평가좀","22살 남자임 인생 ㅁㅌㅊ인지 평가좀  "
"11",6191,"엣피프님들에게 궁금한거","이 사람이 나한테 호감표현했다고 느껴질만한게 뭐가 있어?친구사인데 이쁘다하는것도 호감표현으로 느껴지나?어떨때 호감표현이라고 느끼는지 좀 궁금해..반대로 엣프피들의 호감신도!다들 뚝딱댄다는데 이것도 엄청 헷갈린다 ㅠㅠㅠㅠ이제 막 알아가고 호감쌓는 관계라 어떤지 넘 헷갈려ㅠㅠㅠㅠㅠㅠㅠ"
"12",6193,"이거 썸인지 봐줘","안친한 사인데 요즘에 매일 연락중눈 오는날에 눈보라고 얘기하고 자기 뭐하는지 사진찍어서 보내주고 연락 계속 이어나가려고 하는거 같음근데 내가 누나거든.... 애가 원래 착하고 자기보다 나이 많은 사람한테 예의 바르고 그럼 그래서 그런 걸 수도 있지 않나 싶음내가 선톡하다가 오늘은 얘가 선톡도 해주긴 함 근데 답장텀은 쪼금 긴듯 (30분~1시간) 지금 일 중이긴 해어떻게 생각함아그리고 썸탈때 무슨 얘기해야함 진지한 얘기? 재밌는 얘기? 내가 t라 약간 질문식으로 묻는거 많이하는데 괜찮음??"
"13",6197,"esfp분들은 안 친한 사람들이랑 같이 있을 때 조용해지면","esfp분들은 안 친한 사람들이랑 같이 있을 때 조용해지면 신경 쓰이고 침묵을 내가 깨야 할 것 같은 느낌이 드나요? 아니면 그냥 그런가 보다 싶고 아무 생각도 안 드나요..??"
"14",6198,"엣프피 어장관리 잘함?","선 잘 그어줌? 아니면 맘없어도 선 안 긋고 즐김?"
"15",6199,"쿵야 뭐 나왔음?","땅콩쿵야 나옴.땅콩쿵야가 엣프피 맞지??? https://poomang.com/detail/aziwx "
"16",6200,"너희 썸녀한테 아무것도 하기싫다~< 이런말 할 수 있어?","아 열심히해야지 !아 아무것도 하기싫다이런식으로 왔다갔다 기복이 되게 심한데..ㅋㅋㅋㅋ 좋아하는 사람한테 저렇게 말할 수 있는거야?나는 잘보이고싶은 사람한테는 저런말 안하고 오늘도 화이팅 뭐 이런느낌으로만 말하거든.."
"17",6201,"esfp 호감표현","요즘 들어서 연락을 많이 하는데 카톡 선톡이랑 전화도 먼저오고 답톡도 일있는거 아니면 늦어도 20분안에 오고 대화하는건 일상적인 얘기 하는데요 자기 챙겨달라하고 잘 챙겨줘서 고맙다고도 하고 둘이서 만나서 어디 놀러가자 밥 먹자 연락오고 모닝콜 해달라고 하고 스킨십도 하는편인데 그냥 엣프피가 다 이런건가요? 아니면 호감 표현인가요? 자기 좋아하냐고 물어보던데... "
"18",6202,"나 엣픕인데 ㅈ같네 여기","홈쇼핑 md인데 때려칠까 고민중인데 찰떡이래 시발ㅋㅋㅋ ㅈ같네 https://doda.app/quiz/miO8D42WGo 다 결과 MD로 나옴?  "
"19",6203,"호날두 네이마르 esfp, 말 다했네 ㅋㅋㅋㅋㅋ","내가 아는 esfp남이랑 유ㅏㄴ전 똑같네 이미지 성격 "
"20",6205,"엣프피 여자","어떤 이미지임?"
