"","num","title","content"
"1",7671,"나 인프핀데","솔직히 명령에서  개인적인 감정 서운한점 이딴거 깊게 생각하지 않고  니네 유형이 하라는대로만 했을때  하이 하고 철저히 지켯을때  실패한적 한번도 없었고  딱히 좆돼보라고 나한테 해가 될거 시킨적도 없었음  그저 고맙다. 근데 철저히 상하관계에서 명령을 실행하는 입장에선 마음이 편했는데 이사람이 갈수록 나를 더 편하게 대하는거 이게 더 불편하다 나는 평소엔 이성보단 감정이 앞서는 사람이라  일할때만큼 이사람 앞에서는 최대한 감정을 배제하려고 노력하는데 이렇게 되면 내가 너무 힘들다  나는 지금 정도의 거리를 두는 것이  가장 효율적이고 서로에게 도움되는 정도라고 생각하는데 정중하게 거리 두는 방법 있을까 "
"2",7672,"엣티제녀랑 소개팅 했는데 이거 뭐냐?","소개팅 후에 연락해서 애프터도 잡았고다음주 주말에 차타고 외곽으로 멀리 놀러가고6월에도 전시회 가기로 했는데막상 연락은 나한테 되게 관심 없어보인다...질문도 딱히 안하고 답장 텀도 길어짐너넨 상대방 관심없어도 약속 잡아서 만나주니...?"
"3",7674,"ㅇ",""
"4",7676,"ESTJ직장동료가 나 맘에드나?","뭔일있으면 나부르고 일시키면서 무거운물건있음 나부터 도와주고 뭔가 친한데 차가운 느낌 알지? 친한척하는거 "
"5",7677,"헤어지고 언팔 왜하냐","엣티제들은 헤어지면 인스타, 페북 언팔 하니?차단은 안하고 굳이 상대방 찾아서 언팔하는 이유좀?!그렇게 보기 싫으면 차단 박지.."
"6",7678,"Estj 남자 심리 좀 알려주라..","안녕! 엣티제가 무슨 맘인지 잘 모르겠어서.. 아리쏭한 enfp야…!엣티제랑 소개팅으로 만나서 2주 정도 잘 연락하고 데이트도 잘 했는데, 어느순간 연락 텀이 길어지더라구..그래서 내가 왜 이렇게 연락이 뜸하냐! 물어봤더니 본인은 공감 잘 못 해주는 성격인데 나는 되게 감성적인 거 같아서 본인이 나한테 상처 줄거 같아 고민이 되서 연락을 잘 못했다하더라구.. 그래서 내가  그럼 고민해보구 알려달라고 했더니 끝이 보이는 관계인거 같아서 그만 연락하자 말하더라ㅜㅜ 내가 두번 정도 설득해봤었는데 결국 썸 깨졌어...그 뒤로 아무런 점접이 없다가 한달만에 다시 연락와서 톡 하다가 만나서 밥도 먹고 술도 먹고 데이트 했어! 근데 그때도 사귀는 건 아닌거 같다고 그러더라 그래서 그땐 내가 나랑 뭐하자는건지 싶어서 선그었지… 그만 연락하라고 생각할수록 어장인가 싶었거든... 근데 계속 고민하다가 보니까 얘가 어장이든 뭐든 아쉬운 사람이 나인거 같아서 먼저 연락 했었는데, 조금 대화하다가 일주일 안읽씹 하길래 맘 접었어 근데 또 그 뒤로 일주일마다 한번씩 잊을만하면 전화하고 연락와서 뭐하냐고 하고, 연애 안 하냐 물어보고, 너는 나한테 전화 안 하냐 그러고 이런다ㅜㅜ 내가 그래서 대놓고 너 이러는 거 그냥 나한테 어장 치는 걸로 밖에 안 보인다 사귀기 싫다고 해놓고 나한테 왜 그러냐 이랬더니 어장 아니라면서 자기는 어장 칠 시간에 헬스장을 더 가거나 술을 먹거나 좀 더 생산적인 활동을 한다고 하더라구… 어장 하려고 연락 하는 것도 귀찮대… 본인은 나한테 진심이라고 말은 하는데 행동은 잘 모르겠어ㅜㅜ나는 얘가 여사친도 많고 이러다보니까 그냥 솔직히 진심으로 안 느껴지구 나한테 어장 같거든… 어쩔땐 진심인가 싶다가도, 그냥 심심풀이로 연락하는 거 같기도 하고 너무 아리송해…아직 사귈 마음까지는 안 들어서 더 연락해보고 싶은걸까..? 어떻게 생각해..? 엣티제는 보통 어장 안 치나..?ㅜㅜ"
"7",7680,"엣티제 남자는","인기가 많구나 궁금해하는 글이 많네 ?"
"8",7681,"estj들아 너넨 힘들때 어떤말들으면 호감느껴?","사장 씨발개좆같은 틀딱새끼가 짝남 7일째 일시켜서 괴롭혀 "
"9",7682,"짝사랑하는 여자한테 선톡이왔는데","다 포기했었는데 그래도 가능성있는건가요... 여직원이고 제가 필요해서 이런게아니라 본인 넋두리식으로 선톡오고 서로 2시간씩 계속 카톡하다 끊김 "
"10",7683,"헤비메탈 좋아하는 사람 있냐?","ㅇㅇ"
"11",7686,"ESTJ 썸녀가 이러는거 호감이야?","소개 받아서 연락한지는 2주 됐는데"
"12",7689,"estj남자 원래 겉과속이다름?","회사에서 여려명있으면 나한테 차가우면서 둘이서 있으면 엄청착해짐 나랑있으면 착해짐 나머지 동료들은 쟤랑 둘이서 일하면 입다물고 싸가지없다 뒷담깜 날 좋아하는지 싫어하는 지 가끔헷갈림... "
"13",7690,"엣티제녀 연기 원래 잘해?","나 좋아하는 애가 있는데 내 앞에서 안좋아하는 척 잘하네"
"14",7691,"썸인건가 뭔가?","원래 남자들은 귀엽다는 말 아무한테나 잘 해? 하루종일?"
"15",7694,"엣티제녀 할말 진짜 없게 카톡하는데 어떡함?","대답은 잘하는데 진짜 질문 안하고 할 말 없게 만드네..근데 또 주말에 만나기로한거 계획은 잘짜고;사람 헷갈리게하는데대체 뭔 생각이냐 엣티제들은.."
"16",7697,"엣티제 남자가 이런 말 하는 거","둘 중에 한 명이 아파서 먼저 죽는다면나는 같이 따라 죽을거야대신 죽어줄 수 있어같이 누워서 조근조근 이런 말 해주는데진심이야? ..듣고 조금 놀람..아 이정도라고? 이러면서"
"17",7698,"estj 군면제 많다던대 사실임?","진짜로 이 소리 들은 거임군면제인지 맞다면 사유가 뭔지 댓글에 알려주실 수 있을?"
"18",7703,"엣티제들아 어장이지?","엣티제 경찰간부 시험 준비중인 오빠 있는데나한테 연락만 일년되가는듯만나자하면 자기 시험 재수라 마무리하고 시작하고 싶대그러면서 나한테 매일 연락와 밥먹었냐 일어났냐 잘잤냐 매일 뭐하는지 보고하고 너가 좋어할것 같아서 생각나서 보낸다 공부하다 나랑 전화하는게 젤좋다 나랑 전화할 요일만 기다린대 하는건 완전 시발 그냥 남친이잖아 나가지고 랜선연애중인거임?시발ㅜ"
"19",7704,"일중독 엣티제 어떻게 해야할까","내 여친이 완전 일중독 엣티제야어느정도냐면 출근시간보다 3시간씩 일찍 출근함......항상 최고이고 싶고 완벽하고 싶다는 마음은 이해 하겠는데이걸로 인해 스트레스도 엄청 받고 최근에 m자 탈모도 왔더라고이러다가 진짜 쓰러지지 않을까 하는데내가 걱정되서 얘기하면 또 엄청 싫어하고이걸 어찌해야할까"
"20",7705,"estj친구가 나 편해졋나봐","요즘 딴 사람 도 있는데  나한테만  00씨 서류좀 갖다 주세요 등등  일시켜  깔보는건아님 "
"21",7706,"왜 쩍벌하고 옆에 앉는거야?","짤은 예시고 "
"22",7707,"estj 남자인데 연애 안한 거에 왜케 신기해하냐","주변에서 진짜 엄청 신기하게 쳐다보던데아니 근데 ㄹㅇ 연애에 대해서 관심이 없어서안한 거였거든요취미생활도 많고 일단 집돌이고어디 돌아다니는 거 별로 안 좋아하기도 하고집에서 게임하거나 영화나 드라마 보는 거 좋아하고그리고 내가 글쓰는 거 정말 좋아해서 블로그도 6년째 하거든꾸준히 글 쓴 건 아니지만 글 쓰는 거 정말 재밌어 하거든호기심 많아가지고 아는 것도 많고잡다한 지식도 많이 알고 남들처럼 평범한 거보다는 좀 특이한 것도 많이 찾아보고그러거든(그렇다고 이상한 사상에 빠진건 아님)근데 주변에 만나는 사람들이 다 나보다 나이 많은50대 60대 어르신들이라서 그런지다 이해를 못해 ㅋㅋㅋㅋㅋ동년배인 30대들도 이해를 못하긴 하더라내가 특이한건가 이때까지 연애 안한게 ㅋㅋㅋㅋ"
"23",7708,"ESTJ짝남 걍 아무 의미 없는거겠죠?","막 그냥 지나가거나 or 쳐다보면 왜요? , 저한테 할말있어요?  화내는건 아니고 상냥한 말투 1년간 보니 나한테만 저러던데 의미있을까??? "
