"","num","title","content"
"1",115767,"고민이 있어","우선 나랑 어떤 여자애랑 막 애들이 몰아가는 중이거든 썸이다 막 이러면서. 근데 난 처음에는 그냥 올해 처음 친해진거라 친구로서 좋아서 많이 장난치고(내가 원래 안친하면 낯엄청가리는데 친해지는 순간 아재개그침) 걔도 잘 받아주고 그래서 아 그냥 좋은 친구다 이러고 있었거든. 근데 자꾸 애들이 몰아가니까 이젠 나도 내 마음을 잘 모르겠음. 우선 개랑 나 둘다 연애할 마음은 없음. 애초에 난 1년 뒤면 걜 다신 못볼수도 있어서 ㅋㅋ. 걔도 그냥 자기는 연애보단 썸 타는게 좋다. 막 이러기도 했고.근데 내가 걜 조금이라도 좋아하는건지 모르겠어. 걔 친구가 말해줬는데 엄청 여러명이 따로 톡으로 막 내가 걔 좋아하냐고 물어보라고 그러기도 했데 ㅋㅋ. 근데 다행히도 걔가 나랑 엮이는게 싫지는 않은거 같아서 다행이야. 만약 그랬으면 걜 위해서 멀어지려고 했거든. 암튼 그래. 걔는 나랑 같은 인프제.이거 내가 갤 좋아하고 있는게 맞을까?"
"2",115770,"Infj인데 통찰력 부분 설명은 소름돋게 맞거든?","근데 사람을 돕는것이 최종 목적이다같이 도덕가치관 같은 설명은 하나도 안맞음..난 화합보단 개인주의를 지향하는 편이거든그래서 혹시 intj인가 싶긴한데검사하면서 한번도 T가 안나와서 그것도 아닌거같음나같은 infj는 없나 혹시."
"3",115771,"뭔가 세상이 점점 극단적으로 치닫는게 느껴진다","예전엔 자제하는 티라도 냈던거같은데 요즘엔 그냥 리미트 풀린느낌"
"4",115772,"인프제짤 해석바람","무슨 심경임? 최대한 길게 써줘 "
"5",115773,"근데 ㄹㅇ 연애 안하고 어어어 하다가 금방 40되서 후회하던데 ","못해도 30전후에는 연애 오지게 해봐야한다 데이든 안데이든왜냐면 30대 중반가면 진짜 괜찮은 사람 순서로 품절되고남은거는 진짜 아무도 안줏어가는 어딘가 하자있는 사람만 남음그렇다고 결혼한 사람들이 다 괜찮은 사람들이라 했다는건 아니다쓰레기들 중에도 일찍 결혼하고 바람피우든지 이혼한 케이스죽지 못해 같이 사는 인성파탄 부부 널림단지 나이 많은 솔로는 거르고 걸러서 남은 사람들이 남아있을 가능성이 높다는거그리고 선입견 덩어리인 한국특성상뭔가 하나 잘못하면 아 이래서 여태 시집/장가 못갔구나 라는 인상이 아주 쉽게 박히는게 제일 큰거 같다.비혼주의면 모르겠는데 본인이 외로움 잘타는 인프제면여자는 27세 전 남자는 35세 전에는 쇼부 쳐야하고그나이 지나면 아니 내가 그동안 어떤 애들하고 놀았는데내가 어떻게 이런 새끼랑 결혼해?? 싶은 급(인성, 조건, 외모 통틀어)들하고 만나야 하는 상황에 놓인다.대부분의 결혼의 60%는 세기의 사랑과 인생의 단짝이 아니라대충 결혼할 시기쯤에 만나는 연놈하고 하게 되는게 대부분이때 결혼 준비하며 남녀 둘다 느끼는 감정은'내가 겨우 이런 급떨어지는 인간 만날려고 여태 결혼 안한게 아닌데..'이때 타협하면 그나마 배우자는 건지는거고난 눈높이 안낮춰 하면 40대 지나서 50대 독거노인으로 남는거다(가끔 본인이 눈높이 낮춰도 부모가 개지랄떨어서 우리 딸/아들은 저런 집에 못보내~ ㅇㅈㄹ하면 독거노인 급행루트로..)일단 연애부터 하도록 하자40대 되면 여자도 성욕 떨어지고 남자도 체력이 딸려서 힘들다근데 꼭 20대 30대에 난 결혼 안해도 돼 남자/여자 없어도 잘살아 하는 사람이 꼭 40대 가면 아 연애좀 해볼걸 하고 많이 후회들 하더라"
"6",115776,"연애는 필수 결혼은 선택!!","이미 김연자 인생선배님께서 노래로 구구절절 말씀하신 진리입니다.여러분 연애는 필수 입니다.지구상에 나랑 다른 성별의 생명체가 어떤 생각 무슨 언어를 사용하는지 그래도 알고 죽어야 궁금함이 덜 할거 아닙니까?이 궁금함,기대 평생 품고 눈감으면 후회가 너무 남을거 아닙니까저도 잠자리 이런건 논외고 순수하게 여성들은 무슨 생각 무슨 언어 뭘 좋아할까 하는생각에 시작한게 연애입니다.굉장히 세상을 느끼는 스펙트럼이 넓어집니다. 마치 내가 모르던 감정의 영역이 해금되는 느낌이에요.성격 모난데 없고 이목구비 달려있고 호감 좀 있으면 우리 연애해 보자고 해보세요여러분이 상상하시는 이상형의 상상여친은 있긴 합니다만 못만나요. 못 박겠습니다. 못 만납니다. 상상으로 끝내세요.정주고 마음주고 몸섞고 마음을 다하면 그 사람이 내 최고의 애인입니다.다시한번 더 말하지만 조건 따지지 마세요. 사람은 냉장고 컴퓨터 같은 물건이 아니고 트로피 같이 전시하는것도 아닙니다.너랑 내가 좋아야 하는 겁니다. "
"7",115777,"난 INFJ인데 사람한테 웬만해서 말을 안걸어. 말거는게 어려워","낯 엄청 가리고 싫은건 싫은티 확 내고 호불호 확실하고 인사 잘 안함. 어른들한테는 하는데 그것도 나랑 그래도 친분 있고 그런 어른 한정이지 내 또래나 공간에 있는 사람들하고는 일절 대화 안하고 인사도 하는게 부담스러워. 내가 먼저 말걸거나 인사하는거 상대도 부담스러워 하잖아. 여태 그래왔었어"
"8",115778,"인프제 여사친이 전화와서","자기 몸살 걸렸다 해서 병원 가라 했더니 아니 나 아프다니깐? 걱정해줘 ㅇㅈㄹ 해서 어쩌라고 병원을 가야 몸이 괜첞아지지 이러니깐 와 진짜 병원 가라 하면 너 아픈거 안 궁금하다는거 처럼 들린다 이러네"
"9",115781,"직업고민있음","상담 및 사회 계열: 임상심리사, 상담심리사, 사회복지사, 언어재활사"
"10",115784,"나는 옛날에 우리나라 자살자가 늘고 묻지마 범죄가 많아질거라 생각했지","자살자가 많을때야 사회탓을 안하고 자기 책임으로 돌리는 분위기니깐 분노와 공격성을 자기에게 돌려 스스로 공격하지만 이걸 외부로 돌리기 시작할거라 생각했지 왜냐하면 우리나라와 경제체제가 비슷한 미국 일본의 묻지마 범죄가 많았으니 그나라의 총기난사 흉기난동 같은 일이 우리나라의 미래모습이라 생각했지 그리고 슬프게도 지금 내 생각하는것처럼 흘러가고 있어 그리고 이런 사회에 대한 증오 분노 범죄가 커짐에 따라 드디어 사회가 그들에게 신경쓰기 시작하겠지 자살이 아무리 많아도 신경 안쓰던걸 이제서야 말이지 자기가 길을 가다가 범죄의 대상이 된다는걸 깨달을 때야 신경 쓰는거지 사람들이랑 자기생각밖에 못하니깐 자살이 많았을때부터 사회에서 그들에대한 배려와 온건적 분위기였으면 이렇게 되기전에 멈출수도 있었을거야"
"11",115786,"나같은 극성 INFJ는 새벽 2시전에는 자야됌","새벽 2시 지나면 새벽 6시까지 온갖 잡생각/걱정이 들음방금도 ""세상에 미친놈들이 너무 많아진거같으니 내가 죽어버리는게 편할까""이 생각만 4시간동안 하고 있었음근데 누구의 잘잘못을 떠나서 요즘 사람들이 좀 많이 이상해진거같아서 무섭고 옛날같지 않아서삶 자체에 이질감이 들 정도임"
"12",115787,"ㅇㄴㅋㅋㅋㅋㅋ","귀염유동쟝이라니 진짜 프제갤 분위기에 잘 맞는 귀여운 닉이네"
"13",115789,"기득권의 논리라고 할 수는 있겠지만","발전된 동북아 국가에서 저출산이 문체가 되는 건 자본주의와 유교사상이 애매하게 섞여서 그런 거 같음.가족, 사회의 유대를 중요하게 생각해서 복지를 하다 보니까 중산층은 자식을 상류층으로 만들고 싶고 그러기엔 애매하니까 애를 안 낳고 상류층은 많은 세금 때문에 애까지 낳으면서 소비를 하고 싶지 않고 하층민들만 계속 애를 낳는데 키우는 걸 반쯤 포기하다 보니 삐뚤어져 나가는 애들이 점점 많아지고신분상승의 욕구가 상대적으로 덜한 유럽/북아메리카에서는 계층에 상관없이 골고루 출산을 하다보니 출산율이 문제가 되지 않는 듯솔직히 세금 비율 따지고 보면 일본, 한국에서 고위직을 차지해도 불만을 가질 수밖에 없는 듯"
"14",115790,"나는 귀염유동쟝이다","뿌잇-⭐비추 박으면 자다가 입에 날파리 들어감"
"15",115791,"인프제녀가 마음 많이연것같아","자기 지금 뭐하는지 일상 많이말하고 걱정도 해줘 이제.. 날 덥다고 ㅎㅎ"
"16",115793,"나 인프제 아닌 거 같은데 ","매번 인프제 나옴.. 진짜 아닌 거 같은데 정식검사해도 인프제… 본인이 인프제 아닌 거 같은데 계속 인프제 나오는 갤러들 많아?"
"17",115794,"자의든 타의든 유흥주점에 한번 다녀온 사람","1거른다 vs 2안거른다"
"18",115798,"인프제인데","성격 너무 바꾸고싶다 , ㄹㅇ로너무나도 너무나도 너무나도 너무나도지금을 살아가고 싶다. 미래는 필요없다. 지금을 살고싶다 먼 미래 생각은 이젠 지겹다.제발 신이 있다면 내 성격을 바꿔주길"
"19",115799,"어찌해야 세상에 더 쓸모있을까","시끌시끌한 세상나를 희생해서라도 다른 이들의 희생을 막고 싶다는 건내 큰 교만일까, 망상일까?내가 그 상황이라면 어떻게 할 수 있을까?남들처럼 신고하거나 피해자를 돕거나 같이 도망가는 것 등만이 최선일까?주변에 의자나, 신고 있던 신발 등으로 맞서 싸운다는 건 무책임한 오판일까?아무것도 할 수 없는 무력하고 나약한 내 자신이 싫어진다오히려 그 상황에서 찌질하고 비열한 모습이나 안 보이면 다행일까..."
"20",115800,"귀염운동장","왤케 운동장을 좋아하나 헬스겔인가 했더니 유동쟝이었네"
