"","num","title","content"
"1",480578,"남사친 한 명도 없는 인프피녀가 이성한테 선톡하는 이유","1. 호감가서2. 용건 있어서둘 중 하나임남사친 많은 인프피녀에게는 해당 안 되는 사항 ㅇㅇ"
"2",480579,"근데 인프피들 글보면","공격적이지않고대부분 조심스럽게 질문하는거같음 ㅋㅋㅋㅋㅋ자신하고 겁나 싸우는데 ㅋㅋㅋㅋㅋ"
"3",480580,"학원 같이 다니는 사람 중에 호감가는 사람 있는데..","다음주 금요일이면 수업 종료하고 헤어지거든..그 전에 번호 따고 싶은데..도저히 번호 달라고 할 용기가 안 생겨..그 사람은 평소에 엄청 차갑고 수강생들끼리  어느정도 친해졌는데도 그 사람만은 아무와도 안 친해진거 같거든근데 나랑 둘이 있었던 적이 있는데 그때는 말 잘하더라고그 때 좀 얘기하고 나서 좋은 사람인거 느껴지고..사람들 많을 땐 말 잘 못하면서 둘이 있을때는 말 잘하는것도 동질감 느껴지더라고.. 엄청 좋긴 한데.. 막 들이대면 부담스러울까봐 친구라도 되고 싶거든..뭣보다 둘만 있을 기회가 잘 안 생기는거부터 문제..포기해야하나 말아야하나..금요일이 지나면 우리는 남남인건가.."
"4",480581,"1번부터 골라보기","호의 호의 호감 호의 호감 "
"5",480583,"나기분나빠","머리에 호 해줘 "
"6",480584,"이런 친구관계 어떻게할까","친한 친구가 있는데 자기 표현은 잘 안하면서 내가 하자는 거에 잘 맞춰주는 친구야.그런데 최근들어 약속도 좀 늦고 하자는 대로 하긴  하지만 좀 불편한 눈치더라. 나도 점점 불편해지니깐 둘이서 보자고 해서 얘기를 나눴는데 내가 싸가지가 없고 생각을 안하고 말한다고 하더라. 그동안 나한테 화났던 일들이 엄청 많지만 말은 안한다고 하면서. 그런데 그렇게 표현한것도 내가 말해달라고 사정사정해서  그런거거든. 내 잘못을 말해줘서 고맙긴 한데  평소에 말을 안하다가 내가 부탁하니 선임이 후임 갈구듯이 사회생활 운운하며 혼내는 것도 황당해서 혼란스럽더라.그런 생각을 하고 있었는 줄은 몰라서 충격이었지 내가 그동안 너무 직설적으로 말했구나 싶으면서도 앞으로도 계속 그런식으로 숨기면 나도 힘들것같아서 질문해 ㅠㅠ "
"7",480585,"유동코드 열받아서","열받고 귀찮아서"
"8",480586,"공감 잘 못함","인프피인데 사실 공감능력 떨어짐뭐랄까 그냥 관심이 딱히 없음엄청나게 관심있는게 아닌 이상 (인팁이랑 비슷한?)공감하는 척을 아주아주아주 잘함으음 맞아맞아 ㅠㅠ 그니까 허어 앜ㅋㅋ 등약 오천칠백개의 정성스런 리액션을 준비해두고머릿속으론 망상을 하는중나만그래?..."
"9",480587,"흑","흐앙~ "
"10",480589,"알바하다 잘린곳에서 손님으로  가는거 이상함?"," - dc official App"
"11",480590,"예전에는 나를 너무 자책했거든","나는 왜그럴까"
"12",480591,"나는 이랫다 저랫다하는거 겁나 싫던데","하면 따라간다 이런식으로 이야기하다가나중에 말바꿔서 선긋는거보고잘해주면 안돼는걸 깨닳음"
"13",480592,"사람들이 나를 싫어해","다들 나만 보면 째려봐 "
"14",480593,"인프피가 드라이브 가자는데 오케이해줬어","내일 간다!!!이것도 호감맞지?"
"15",480594,"이성에게 MBTI 적용해도 소용없는 경우가 있음","여미새 남미새면이 분류체계로 해석하려 해도 소용 없음그냥 이성이 주는 도파민에 중독된 사람들이라"
"16",480595,"아는 누나가 그러더라고","관성 소모적인 관계 그만 하고 "
"17",480596,"인프피t 가 자기자책을 많이 하는구나..","하...어쩐지 혼자 끙끙앓더라니겁나 노력하고 개빡세게해서 자신을 망가트리네ㅋㅋㅋㅋㅋㅋㅋ"
"18",480597,"그래도 좋은 일이 있을거란","그런 생각으로 살아가는중 ㅎㅎ"
"19",480598,"혼자있는게 ㅈㄴ좋다가두 외로워짐","그래서 사람을 만나면 갑자기 모든게 귀찮아지고 허탈해짐 나두 내가 ㅂㅅ같음..."
"20",480601,"담배에 니코틴만 있는 줄 알았는데","참 다양한 유해물질이 들어가네니코틴만으로는 중독증상을 일으키고그걸 해소시키기에 부족한 건가"
"21",480602,"아무 이유없이 기분이 나빠지는 건","왜일깝 "
"22",480603,"인프피들 혼자만의 시간 필요하잖아","이거 남친, 여친한테도 예외없지? "
"23",480604,"인프피녀도 남성성 좀 길러야 함","여자가 아무리 수동적인 위치래도인프피녀는 그 정도가 너무 심함 ㅋㅋ여자가 너무 축축 쳐져도 정 떨어지더라"
"24",480605,"오늘은 영상이나 글 엄청봣는데도","욕구가 충족이 안돼는거같네심심하네"
"25",480606,"연락은 진짜 안되는데 ","만나자고 하면 언제가 괜찮다, 이날 뭐 하니까 언제 보자 이렇게 답변이 옴어장인가..? 아니면 그냥 간 보고 있는걸까?연락은 거의 12시간 정도 지나서 오는데… 진짜 모르겠다만나면 대화도 잘 통하고 부담스러워 하지는 않는 것 같아"
"26",480607,"밑에 인프피녀도 남성성 좀 길러야 한다고 하는데","나처럼 내가 좋아하는 남자만 만나려고 하고좋아하는 남자 번호 몇 번 따보고 들이대보고 이런 사람은남성성 그만 길러야 하지 않겠냐 ㅋㅋㅋㅋㅋㅋ나한테 먼저 들이대고 꼬시려고 한 남자들에게는 한 번도 안 넘어감 진짜 살면서 한 번도 넘어간 적이 없고 날 좋아해주니 만난 적도 없음내가 생각해도 나 너무 남자같음 그런 면에서 "
"27",480608,"오늘도 반성을한다","인간관계 패턴이 항상 싸움으로 끝나는걸이건 진짜 문제네..."
"28",480609,"인프피 썸녀 연락","썸녀가 특히 주말에 바빠서 연락이 잘 안되는데 나는 연락안되면 나도 안보내고 재촉도 안하니까 썸녀가 자기 연락텀 이해해줘서 너무 좋다고 그런 적도 있는데 근데 그거 알란가실제로 괜찮긴 함 근데 연락텀 길어질수록 이성적으로 느껴지진 않음 오히려 동성 친구들이랑 연락이 더 잘되는데 얘랑 썸을 타고있다고 생각이 안들고 그냥 친구같이 느껴짐 어떡하지.."
"29",480610,"마오! 마오!","마오마오! "
"30",480611,"욕해줘","눈물 참을게 "
"31",480613,"방금 깊게 한숨쉬었음","오늘 하루 나댄거"
"32",480614,"인프피남인데 성인되고 나서 사귄 친구들이","어째 더 오래 가고 좋은 것 같음..."
"33",480615,"인프피 짝?썸남?","좋아하는 인프피랑 몇개월째 개인톡중인데말투가 미아내ㅠㅠ 괜차나?? 밥 머겅 뭐뭐 했당 이런 식으로 변했는데 이건 왜 그런걸까?그리고 자꾸 내 말투 따라함;안좋아하면 그런 거 하지말라고..ㅜ"
"34",480616,"여친이랑 싸웠는데 잘못했다고 할까","하 난 왤케 병신새끼일까"
"35",480618,"볼만한 영화","추천점 "
"36",480619,"상담좀…","좋아하는 친구가 인프피임 "
"37",480620,"뿌삐 넘조아 미친 너무조아 죽게써~!~!~!!!!","두드리니까 쪼금씩 열리는 뿌삐 보는게넘 행보캐요즘 사는게 재미따뿌삐 사랑해"
"38",480621,"길 가다가 직장동료 만났는데","칭구랑 같이 있길래 인사 하려다가 못본척하고 갓음.... "
"39",480623,"니들 관심가는사람 생겼는데 모르는사이면 어케해","새로 옮긴교회에 나한테 관심 있는 거 같은애가 있어서"
"40",480624,"아 그냥 먼저 직진박아야 하는부분이냐","너무 돌직구임?"
"41",480625,"인터넷에서 위로받는 습관 끊음 ㅅㄱ","인터넷에서 듣고싶은 말 들어봐야 달라지는 건 없음 "
"42",480626,"찐친없는데 인생 망함","초중고때 같이 다니는 무리?는 항상 있었거든 근데 대학들어가고부터 없어짐 찐친도없고 친구라고 해봐야 가끔 연락하고 그냥 인생 자체가 재미없어짐 모솔이라서 여사친도 없었는데뭔낙으로 살아야하냐"
"43",480627,"인프제 전여친 때문에 좋게 생각했었는데","갤 애들이 생각보다 너무 멍청해서 말이 안통함 "
"44",480628,"안녕","나바보 나멍청이 "
"45",480629,"이거나 들어라","https://www.youtube.com/watch?v=Atz-yuK4STY"
"46",480630,"평생 스마트폰 안쓰기 vs 평생 음악, 영화, 책 안보기 ","둘중에 뭐고를래? "
"47",480631,"여기 사람이 업서","슬포 "
"48",480633,"익명성 뒤에 숨은 악플 심각한 사회문제로. 사회적 비용 연 35조원","12일 연세대 바른ICT연구소에 따르면 악성 댓글로 인한 사회·경제적 비용은 연 35조3480억원에 이른다. "
"49",480634,"본인 불매 운동 중","불매 하고 있음."
"50",480635,"남잘되는꼴 못보는 존ㄴ나꼬인 쓰레기mbti","남자 Infp는 진짜 ㅅ프피가 맞다"
"51",480636,"나는 상대방도 나한테 호감있을거같을때 직진하는데","나만 그럼..? "
"52",480637,"인프피 여자 ","헤어지고 3일째인데 프사이런거 잘안바꾸고 그런애인데 오늘 갑자기 이거로 변경됬음 무슨뜻임?그냥 힘든시간이니 이겨내야겠다 이런맘이지?"
"53",480638,"인프피 안읽씹","이틀동안 안읽씹 중인데 그 상태에서 내가 또 보내도 될까? 아니면 그냥 나도 연락하지 말까? ㅠㅠㅠ"
"54",480639,"너넨 노래들을때 가사가 중요해? 아님 멜로디가중요해?","https://www.youtube.com/watch?v=YBcdt6DsLQA"
"55",480640,"너넨 걱정안되냐","나도 인프피인데 "
"56",480641,"내주변 infp 핵쓰레기들만 잔뜩있네 이래서 씹fp구나","책임감도 없고 사실 그대로 말해도 못받아들이고 욕박으며 부정한채 현실회피하고 싸우면 대화로 푸는게 아니라 지혼자 잠수타고 화날때도 이유 말 안해주고 자의식과잉 개심하고 자기중심적인데다가 감정적인데 일은 개못하는 병신폐급쓰레기 관종들 ㅇㅇ"
"57",480642,"읽씹이나 안읽씹이나","더 이상 보내지 말라는거지?"
"58",480643,"난 이말 싫어함...","내가 좋아한다는 사실이 누군가에게 상처잖아요 "
"59",480644,"인프피가 조심해야하는것 ","내 특징인지 "
"60",480645,"씹흐피가 진짜 있긴 한가봐","ㄹㅇ"
"61",480646,"정말로 좋아하는 사람생기니깐","남녀갈등이 정말 싫어짐 "
"62",480647,"인프피라고 다 똑같은건 아니고 남녀에 따라 또 다른 듯","mbti 재밌긴 한데 신뢰가 안됨ㅋㅋㅋㅋㅋ"
"63",480649,"어떤 아재가 강아지 데려옴","존나 순하더라"
"64",480651,"인프피여친이랑 싸웠는데 우짜노…","말싸움하다 끊고 전화 다시걸었는데 안받길래 기다렸는데"
"65",480652,"카페인 400mg 먹고 운동 끝나니","뭔가 면접 전 이나 중고등학교 때 맞짱뜨기 전 같노.."
"66",480653,"인프피한테 보신탕 대접하려는대","괜찮을까"
"67",480654,"infp 우울감에 취약한거 같아","솔직히 소심하고 예민하긴 하잖아"
"68",480656,"인프피남이 표시하는데 어케 받아줘야 하나?","나보고 이쁘고 귀엽대, 살 뺄꺼라니까 빼지말래 "
"69",480657,"확실히 착한1남자보다 나쁜남자가 더 인기가 많은 듯(10대~20대기준)","어렸을때 방황을 좀 했었었는데, 진짜 고백 많이 받아보고 사귈때도 헌신 잘 안하고 내멋대로 했는데도 오래갔었음.고2때 정신 차려서 존나 공부해서 어캐어캐 인서울로 대학교 가서도 20살~21살 군대가기전까지만 cc만 세번했는데코로나랑 군대도 겹치고 어찌하다보니까 담배도 끊고 내성적으로 변하고(mbti가 enfp->isfp로바뀜)여자 만날때도 헌신적(?)으로 변하고 보니까 전역한 23살부터 지금 24살인데 그동안 썸 쫑난 것만 3번에 여자친구 두명 사귀었는데 하나는 5개월, 하나는 2개월만에 차임"
"70",480658,"인프피한테 데이트신청 받음","근데 어디서 만날지 "
"71",480659,"오늘 날씨 좋다~","습도도 안높고바람도 살랑살랑불어서태풍올라온다던데오늘도 화이팅하고 행복하자!!!!"
"72",480660,"이번생은 틀렷다","난 모쏠을 벗어날수없어 "
"73",480661,"좋아해요","칭찬도 좋아하지만, 정확히 표현하자면 자신을 알아주는 것을 좋아하죠."
"74",480662,"INFP는 INTJ , INTP 랑도 안맞는것같아","내가 INTJ, INTP 이렇게 나오는데 가끔 INFJ-T 도 나오고INFP 애들은 이성보단 감정이 앞서서 그런지 뭐만 하면 감정이란게 없다고 김치 묵은지끼 있는 여친만으로 ㅈㄴ 욕하며 쿵쾅치더라??험한 세상 뭐? 지들만 힘든것도 아니고상황 안좋으면 현실적이게 봐야지 뭐만하면 죳도 사소한거에 의미 부여하고, 서운해 하고 그러데??나 먹고 살기도 ㅈㄴ 빡센데 뒤 돌아봐줄 상황이 있음??아무튼 같이 일하기 싫은 타입임ㅈㄴ 이기적이고 내가 공감까지는 어떻게 해줄수있는데 제들은 희생까지 바라는거보면그냥 다 이해하고 공감할려해도 그 입장이 되볼려고 노력도 해보고 그래도그냥 이거 해줘, 저거 해줘, 순 지밖에 모르는 애ㅅㄲ 보는 것 같아서 진심 정 더 떨어지더라도움주는거?? 도와줄수있다면 도와줄수있지 근데 현실적인 도움을 넘어 남 인생 피해까지 입히면서 희생 바라는건 가정교육 ㄹㅇ 뒷구녕으로 쳐 배운급으로 양심없는거야에초에 지져스 하나님급으로 누군가에게 도움 줄수있으면 세상 모든 딱한 사람들 다 도와주고 살았지 그냥 세상 현실에 마음 아픈체로 살겠음??괜히 왕따 중에 INFP ㅅㄲ들이 많은게 아님 지 밖에 모르고 공감이라는 변명 앞에 희생만을 강요하니 누가 좋아함?? 웃긴건 남 사정은 공감 안하면서 지 사정만 사정인 애들이 INFP가 많더라고 지가 잘못한 일에도 잘못을 타이르면 잘못을 뉘우치고 반성하기보단 특유 INFP 갬성에 빠져가지고 야발 배째라는식 더 쿵쾅치는 ㅅㄲ들도 많고 시2발내가 보기엔 INFP 제들은 ISTJ 나 ISTP랑도 안맞을것같음오히려 N 보다 더 현실적인게 S라서 더더욱 안 맞을것같음"
"75",480663,"사회생활 좀 했더니 잇프피에서 인프피됨",""
"76",480664,"부정적생각 와 이거 힘드네","긍정적이고 싶다"
"77",480665,"짝남이 스토리 좋아요 안눌러줘서 슬퍼","이딴거 신경쓰는내가 짜증남"
"78",480667,"인프피들 다 그래?","본인 인프피고 그냥 나만 그런건지 궁금해서 써봄대하는 사람마다 내 태도가 꽤 많이 다른거같아특히 연락할 때 말투가 그렇게 되는데무의식적으로 상대의 말투, 태도에 맞추어서 카멜레온처럼 변하는 성질이 있는듯너희도 그럼?"
"79",480668,"됐고 INFP는 둘중 하나인듯","시2바 븅신 야발롬이거나동네 착한 사람- 끝 -"
"80",480669,"걱정","인프피가 갑자기 칼부림 조심하라고 위험하니까 밤늦게 다니지마라 어디어디 다니지 말고 조심해 ㅠㅠ 이렇게 연락이 왔는데 내가 그렇게 싸돌아다니는 애도 아니고 연락을 자주 하는 친구도 아니고 평소에 그렇게 친하지도 않은데 왜 나 걱정해주는 거지??전에 썸타다가 흐지부지 됐던 사이임"
"81",480670,"어릴때 순하고 공부 좋아하면 큰거 하나를 놓치게 됨","좋아서 하는 것만으로도 "
"82",480671,"Intj istj istp intp가 맨날 인프피 감정적이라고 ㅈㄹ하는데","니들이 아스퍼거라 남들 감정 이해 못하는 거야지가 병있는 걸 모르고지 기준으로 남 재단만하지그게 아스퍼거 특이기도 하고 ㅋ"
"83",480672,"인프피가 2주간 안읽씹했으면 관계 파탄난거라고 봐도 되나","ㅈㄱㄴ "
"84",480673,"인프피남 맘에 드는데","둘이 술 먹자고 해도 되나지인 통해서 어쩌다 술 한번 먹게 됨본인 인팁어쩌다보니 전남친 3명 다 인프피였음귀여움"
"85",480674,"INFP랑 어울리는 MBTI는 뭘까??","개인적으로 ENFP가 아닐까보는데 둘이 코드가 잘 맞아외향적이냐 내향적이냐 그 둘 차이일뿐 성격이 비슷해 똑같고물론 난 INFJ 나오더라"
"86",480675,"카페인 400mg 먹어서 불안한데 알프람 4알먹어도 그럼 ","심호흡해도 그러는데 어캄?"
"87",480676,"내면에 화가 많아서 그런가","아무이유없이 화가 쌓이는건지화가 왜생기는거여..부정적생각때문인가.."
"88",480677,"내가 본 INFP는 왜","다 망상증 환자같냐??...;; 내가 화내지 않아도 세상 살면서 안 좋은 일 있거나 타인과 싸우면 혹은 말 못할 상황이 생기거나 그럴때 표정 안좋아지면INFP 제네들은 나 때문에 그런가?? 이런 애들 ㅈㄴ 많음 그마저도 이게 양반이지 더한 애들은내가 뭔 짓을 했지?? 그냥 내가 싫은건가?? 고작 어떤 이유로?? 뭣 때문에? 너무행...!! 등 이런 찐따 + 피해 망상증에 빠져서 혼자 삐치고 뚱해가지고 사람 물어보거나 말 걸면 화내고 짜증부터 내버리는 이런 혼란스러운 애들밖에 읎음...아니면 내가 누굴 욕하거나 비꼬우면 지한테 한거 아닌데 지한테 한줄 알고 혼자 피해망상 걸려서 씩씩거리는 이런 애들이거나..ㄷ;; 난 INFP 욕한거 1도 없는데..;; 이것도 사람 참.. 혼란스럽게 만듬..물론 MBTI로 사람 성격 판단하지 않는데... 제발 오해가 있다면 오해가 있었다, 뭣 때문에 그렇다, 난 사실 이렇다 너는 어떻게 생각하냐? 이렇게 차분 차분 솔직하게 말좀 해주라... 김OO아~...!혼자 속으로 별의별 막장 호러/스릴러 드라마, 영화 다 찍지말고....;"
"89",480678,"이해못하고 답답해하는 게 감정적인 거지","그게 공감이든 사실인식이든 "
"90",480679,"INFP라는건","모든 MBTI 중에 F중에서도 유독 스페셜 F가 아닐까봄 나도 F 인데 INFP는 이해하기가 어렵더라.... 미안하지만...물론 모든 INFP 분들이 그렇지는 않겠지.... 인간관계 ㅈㄴ 힘들다..."
"91",480681,"내 인프피 ","ESTJ로 바꿔줘라 씹인싸에 현실적이고 냉철하고 계획적인 사람 이게 좋은거 아니겠냐?"
"92",480682,"그냥 좀 지친다","이제까지 쉴틈 없이 달려왔는데"
"93",480683,"인프피가 번아웃 제일심할듯","생각이 존나 많고 자신하고 존나싸우니금방지치고 스트레스 받고 혼자 끙끙앓고그러다 회피나 불안해지고인간관계 작살나고다들 힘내자 "
"94",480684,"인프피가 젤 감정적인 mbti인듯 ","좋은 의미로든 나쁜의미로든 ㅇㅇ"
"95",480685,"불안했던거 짬뽕에 밥말어 쳐먹고","쫌 걸어서 집에와서 쉬다보니 나아짐 ㅇㅇ"
"96",480686,"못생긴 인프피가 자꾸 친한척함","어떡하지"
"97",480687,"님드랑 선톡<- 이거 어케하는거임 도대체","그냥 만나면 몇시간도 이야기 할수있는데 선톡은 너무 힘드러"
"98",480688,"인프피라서 인진 모르겠으나 불안은","경험이 중요한듯 경험이 부족하고 처음하는일에 두려움 느껴서 하기싫고 싫증나고 짜증나고 불안한데 많이하고 익숙해지면 괜찮아지더라 편의점 알바 처음할때 무섭고 두려웠는데 지금 걍 개쉽고 오히려 편함 피방알바 오늘 처음이라 두려운데 한달뒤면 개쉽고 양아치 손님 틀딱 손님 상대하기 쉬워질듯"
"99",480689,"살면서 캐비어 한번도 못 먹어봣다 ㅜㅜ","유튜브 티비틀면 맨날 먹는장면 나오는 캐비어 나만 못먹어봣어 ㅜㅜ 나 캐비어 사주면  뽀뽀 3회 이용권 줄께 "
"100",480690,"인붕아","넌 좋은 아이란다 "
"101",480691,"슈퍼 겁쟁이들의 쉼터","심한 욕설이 난무하지 아나! "
"102",480692,"봉인된 mbti의 왕은","900년 동안 고동을 되찾고, 90년 동안 이지(理知)를 되찾고, 9년 동안 힘을 되찾고, 9일 동안 세상을 되찾는다. "
"103",480693,"주말에 펜타포트 다녀왓삼","인프피라면 락듣자 ㅇㅇ내여름.. 안녕,.,.,"
"104",480694,"내가 드디어 미쳤나","아무리 생각해도 토요일에 아는사람 본거같은데 확률적으로 말이 되나"
"105",480695,"넷친에 비해서 내가 너무 찐따같은데 어캄","ㅇㄴ 난 모솔에 고백받은적 0번인데걘 거의 매년 자기를 좋아하던애가 있었다하고내가 고백 2번받았다고 구라치니까 개적다고 놀람..ㅋㅋㅋㅈㄴ 급이 안맞는거같은데 어캄ㅅㅂ"
"106",480696,"안녕","ㅋㅋ"
"107",480697,"하루에 한번 10분이라도 긍정확언 듣기","하루에 10분만 투자해도 인생이 달라지겟지?"
"108",480699,"노래 추천해줘","암거나 장르불문"
"109",480700,"인프피가 한국에서 인구수 2등임?","엄청많군"
"110",480701,"나 intp인데 infp 좋아해","같은 오타쿠라 티키타카하는 것도 재밌고너네 의식의 흐름 기법으로 개드립하는 것도 웃기고그 섬세함도 좋아.초딩 때랑 고딩 때 좋아한 친구들 infp더라.짝사랑하듯 덕질한 사람도 infp고근데 인간관계에서 너무 생각하고종종 상처받는 것 같아서 좀 안타깝긴한데머 그러니 너희의 섬세함도 있는 거겠지좀 더 자신감을 갖고 살면 좋을 것 같아먼.. 훈수충처럼 되버렸는데다들 X프피하지만 난 너네 좋다고 ㅇㅇ"
"111",480702,"회피형 연애 피해야돼?","반년이상 좋아하고 있는 사람이 isfp인데최근에 한 계기로 그 사람이 회피형인거 알게됨유튜브나 구글에 좀 돌려보니까연애결과가 하나같이 씹창이더라고인프피 형님들은 어떻게 생각하시나요"
"112",480703,"아니 우리나라 인프피가 그렇게 많아.??","트루임???"
"113",480704,"어 인붕이 선이 보여","크큭 선이 보인다! "
"114",480705,"인프피녀 취미공략좀","인프피녀가 하고있는 취미가 있는데 따라서 하는게 좋을까아니면 요즘 하고싶다는 취미를 알려주던데 그걸로 같이 하자고할까혼란와서 머리 터질거같다.... 뭐가 맞는지도 모르겠고.. 살려줘"
"115",480706,"그냥 계속 잠들어있고싶엉","깨어있고싶지않다."
"116",480707,"음 게임친구던 아니던 몇개월간","수다떨다 게임접고 그사람들이 없으니허전함이 엄청나네 ㅋㅋㅋㅋㅋ한두명이 아니였엇지만정많은스타일이라 그런가"
"117",480708,"인프피의 매력은 어디까지인가","그것은 세계 칠대 불가사의 "
