"","num","title","content"
"1",80611,"와 잇프피짝녀한테 스토리 하트받음ㅎㅎ","스토리 다 읽어주는것만으로 행복한데오늘 좋아요 눌러줌ㅎㅎ"
"2",80612,"잇프피녀가 널 좋아하는지 알 수 있는법 txt ㅎㅎ","1. 먹을 것을 챙겨준다. 2. 카톡먼저안한다.3. 만났을 때 너한테 와서 말걸고 눈 마주치면서 잘 웃어준다.4. 세심한거 기억하다가 얘기 꺼내준다.5. 주말에 뭐하냐는 둥 얘기하고 뭐 한다고 답하면 그렇구나 하고 평범하게 얘기를 한다.ISFP녀는 누군가를 좋아할 때 다크템플러와 같음.1번부터 5번까지 도대체 저게 왜 좋아하는건데? 물어볼 수 있음.근데 좋아하는 마음이 있으니 하는 행동들임.  이성적으론 몰라도 최소한, 인간적인 관심이 있으니 하는거임.특히, 2번 선톡먼저안함은 알아가는단계에서는 편하게생각하면해도 이성으로보면 절!대! 네! 버! 백이면 백! 선톡안한다는 것을명심하도록. 반박시 ISTJ "
"3",80614,"얘랑 연을 어케 끊냐..","내지인이 있는데 말을 좀 싸가지없게함그것도몰라? (뭐물어보면)니가직접해봐 이런식임아무튼 나도 몇달정도 연락했는데  기분나쁜건 둘째치고 말투가 옮는것같아서 연 끊고싶은데나한테 계속 연락하네어케 끊냐 ᆢ쟤 성격때문에 친구도없음 자발적아싸가아니라 그냥 손절당한거같음저말을 너무들어서 나도 남한테 ""그것도몰라? ~~는~겠지? ""라고할것같아서 무서움 ㅠㅠ 걍 잘난척이 습관이야"
"4",80615,"고집 존나 쎈거 이제 싫다..","남들은 나 고집쎈거 하나도 모르고 그냥 유하고 순한 사람이라고 생각하는데 사실 잇프피들은 걍 남들이 뭐라고 충고하든 잔소리하든 다 수긍하구 네네~ 하면서 다 흘려듣고 내좆대로 하잖아요새 그거때문에 너무 이기적인 사람이 되어가는것같아서 약간 현타옴..고쳐야지 생각해도 남들이랑 대화하다보면 걍 내좆대로 생각하게됨;어케 고치냐 이거.."
"5",80616,"잇프피남이랑 한번 밥먹고 그다음에 바로 영화보자 하면 도망가냐","맨날 둘이서 카톡만 한 2주 하다가 어제 처음으로 만나서 밥먹고 카페갔거든 근데 이성적 텐션은 잘 모르겠고 걍 둘다 계속 수다떨고 엄청 웃었어거의 나한테 찐친 대하듯 한 느낌인거같긴 함 뭐 딱히 밥값을 걔가 낸것도 아니고 각자 더치 했고 그냥 딱 주문한 커피 받으러 자기가 왔다갔다 한 정도?만나서 식당 웨이팅부터 각자 집갈때까지 진짜 세시간동안 거의 끊임없이 말한거같음 중간에 주제가 끊겨도 계속 새로운 주제 꺼내서 얘기하고 그러다 되도 않는 드립 치고나중에 헤어질 때 내가 다음에 보자고도 하고 집가서 카톡할 때도 내가 넷플 영화 추천해주면서 너무 주말에 틀어박혀서 이거만 보지말고 내가 종종 끄집어내주겠다 하니까 그럼 자기야 땡큐 라고 그랬거든근데 일단 나도 걔도 둘다 현생이 바쁘고 집순이 집돌이라 빠른 시일 내에 또 만나진 않을 거 같고 최소 2주 뒤에나 보자고 할 수 있을거같음다음에 볼 때 같이 영화보자고 하면 좀 부담스러워 하려나...내가 영화를 좋아해서 같이 영화보고싶은데..."
"6",80617,"잇프피는 진짜 얼빠인듯","상대 외모가 독보적으로 뛰어나니까 다른 단점들이 다 커버쳐짐.근데 이쁜 만큼 인기가 넘 많아서 힘드네ㅜ"
"7",80618,"잇프피가 웃으면서 다가오는데","존나 해맑아서 웃음터짐"
"8",80620,"isfp 여자 질문","나는 남자거든? 근데 매일 카톡으로 연락도 하고 상대측에서 선톡도 오고 계속 카톡이어가려는거 같긴한데,최근에 삼겸살 먹고싶다길래 같이 먹으러 가자했어 내가그래서 일정 잡다가 이번주랑 다음주는 약속있고, 해당주에 약속이 없어도 더 만나면 그 주는 피곤할거같다고 2주뒤에 괜찮냐고 하더라고?괜찮다고 해서 날짜는 잡았는데호감이 있는건지 없는건지 잘 모르겠네호감이 그래도 있으면 없는날에도 그냥 만나자고 했었을거라고 생각했는데"
"9",80621,"잇프피는 약간 경쟁못하는것같아","내 주변보면 잇프피뿐 아니라 뒤에 피들어간애들은  계획성없고 경쟁 잘 못하는듯 30가까이됐는데 알바하는애들도많고근데 우리가 이렇게 경쟁에 떨어지는사이에 ""제이"" 들이 취업하기좋은 환경을 만들어주고 제이들만 좋은거야우리도 자격증따고 기술배워서 취업 힘내자취업하고 시간이 좀 지나면 그때 안주해도 좋으니까"
"10",80624,"잇프피는 헤실헤실 웃지말자",""
"11",80625,"너무 더워서","책상에 앉아있다가 침대에 누워있다가  반복하는중 "
"12",80626,"시반소개팅 만니기도전에 망한거같다","분명 어제첨 받았을땐 서로 티키타카됐는데 오늘되니까 텀 길고할말도별로없어지는거같애 어떡해야될까 애들아ㅠㅠㅠ..존나이뻐서 놓치기싫은데 존니우울하다.."
"13",80627,"어딜가든 꼰대는 꼭 있는듯","나 학원다니는데 여기도 이래라저래라 하는 꼰대있음ㅠ니가 막내니까 내 물건 갖다줘라,목소리가 작다 등등 ㅋㅋㅋㅋㅋ진짜 어딜가든 꼰대1명이상은 꼭 있는듯이제 놀랍지도않고 그냥 자동무시 ㅠㅠ"
"14",80628,"알바 직원새끼들 불친절할 때 엿먹이는 팁"," ""저기... 제가 학원 교사인데요 펄 이빠이 넣어서 200개 준비해주세요!!""  "
"15",80629,"얘드라 너네 친구 몇명있어",""
"16",80630,"짝남이 우울증이면 어떤 생각이 들 거 같나요?","가끔 고독함에 빠져 우울해지곤 하는 intj입니다. "
"17",80631,"클남 픞남이 귀여워보임ㅠ","연락도 많이 하고싶고 자주 보고싶은데 상대방이 부담스러워할까봐 그러진 못하겠음 그래도 매번 부르면 나와줘서 아직까진 그걸로 만족중인데 나중에 더 마음이 커질까봐 무섭다"
"18",80632,"isfp는 정말 솔직한거같다","회피형인건 맞는데 솔직하게 돌려서라도 대답해주잖아isfp 대부분이 그냥 욕망자체가 없어서 사랑못느끼고 정으로 연애하는듯가끔 삘로 하나 딱꽂히는데 그게 연인이면 찐사랑하는거고 아니면 노답임그리고 관계 서서히 만드는거 좋아하고 오래보는거 좋아함 그래서 썸 존나 타다가 사귈수도근데 그거는 사랑이라기보단 그냥 정이라서슬프노"
"19",80633,"내 경험상 isfp 회피형 여자는 자주 연락하면 안된다","상대방이 애가 닳을 때까지 연락하지 말아야 함먼저 연락하면 지는거임"
"20",80634,"내가 잇프피인데 연애상담 해주라 도와조 ㅜㅜ[장문]","나는 백화점에서 일하는 잇프피 남자야보통 백화점하면 매장에서 물건파는 점원, 메니져들 생각하지만고객공간 뒤로 가면 직원동선이라고 있고 거기에 백화점 사무실이 있어거기 사무실에서 근무하는 사람이구짝녀는 백화점 매장에서 근무하는 아르바이트생이야->내가 고객동선으로 나가지 않는한 마주칠일이 거의 없음..여태까지 연애는 고백받거나 먼저 엄청나게 확실한 시그널? 같은걸 줘서(우리 무슨사이? 고백 왜안해?)사귀어서 어떻게 먼저 호감표시를 해야할지 모르겠더라고그래서 무지성으로 간식을 가져다줬어게다가 내가 일하는 부서가 식품이라 선물받은 간식도 많고 시식들어오는것들도 많아서그런거 먹으라구 줬단말야 내가 사비로 산것들도 있고근데 친구들이 그 매장 직원들 다주면 안되고 그 여자애만 콕찝어서 줘야한다그러더라그래서 진짜 그 여자애만 혼자 근무중이길래 먹으라고 케익이랑 음료 가져다주는데 진짜 심장이 쿵쿵쿵 뛰는거야애플워치로 보니까 심박수 130나오더라고,,,,아무튼 그러고나서 어느날 그 여자애랑 지나가다 만났는데 막 웃으면서이제 간식 안가져다줘도 된다 너무 고마워서 커피한잔 사드리고 싶다 이러는데제가 커피한잔 사드리고싶어요가 아니고 ‘저희’가 사드리고싶어요 이러더라구그래서 여기서 1차로 상처ㅜ어쨋든 그래서 내가 그럼 다음에 같이 커피한잔해요~ 이러고3일뒤에 부담스럽지 않게 사탕2개 가져다줬단말야 그러면서 제 이름 아냐구 이름 ~~에요 라고 알려줬어지금 그러고 내일 만나는데 내가 어떻게하면 꼬실수 있을까??딱히 시그널이랄건 없고 지나가다가 마주치면 서로 인사도 하고 인사하고 난 뒤에 또 내가 그 애 근무하는 매장 지나가면 서로 쳐다보는정도?1분이상 이야기할 기회도 없고 내가 어떻게든 건수 만들어서 매장에 볼일있는척가서 말붙이고 그러는데 그냥 돌직구로 커피한잔 하자고 해도 될까?외모는 그친구는 키가 한 160초반? 되는거같고 몸은 엄청 말랐어마스크쓰면 진짜 연예인급으로 이쁜데 벗으면 좀 깨는스타일?안예쁘다는건 아니야나는 살짝 박살난 얼굴에 182cm /82kg 정도운동 좋아해서 약간 근돼? 헬창? 느낌이야진짜 누구 좋아하는 감정 느껴보는것도 엄청 오랫만이고지금 이친구를 놓치면 시도하지 않은것에 후회하지않을까 싶어서 그래 도와주라 친구들아~~"
"21",80636,"ISFP와의 썸 고민","지금 isfp와 썸을 타고 있는데지금까지 6번을 만났어..맛집 카페 영화관 코노 장보기 등 별의별 데이트를 한거 같아톡답도 기본 1-2시간에 1번 줄 정도로 느리고 먼저 만나자고 안해서 처음엔 아닌가보다 했는데영화관에서 영화 중간에 나한테 손에 땀 난다고 만져보라고 하거나 귀엽다고 한다거나 아침이나 퇴근할때 먼저 선톡을줘헷갈리지만 그래도 내가 호감이 있으니까 이만큼 만난게 아닐까해서진지한 관계로 발전시킬 의항이 있는지 물어봤는데내가 좋은사람인건 알겠는데 보고싶거나 생각나고 하진 않는대그래서 더 만나보고 다음에 만날때 마음을 정해서 얘기해주겠대나는 이게 완곡한 거절이라고 생각했는데그날 이후로 계속 선톡하고 음식사진 먼저 보내고...이래서 헷갈려... 물론 톡 답장은 1-2시간 길게는 4시간에 한번이야아직 다음 약속을 잡진 않았는데..이건 isfp 문제가 아니라 그냥 나한테 어장 치는걸까?"
"22",80637,"잇프피들 돈욕심 많아??","일단 난 많은편... 부자가 되고싶다!!"
"23",80639,"난 돈욕심 아주 많음","한번에 벌고 평생 누워서 놀고 싶음 "
"24",80640,"우울증 있는 잇픕남친 갖고싶다","나한테 의존하게 만들어서 영원히 내껄로 만들고 싶다 "
"25",80643,"잇프피 남친 서서히 맘여는 거 같은데","난 이제 한계치 임박해서"
"26",80646,"isfp 궁금한게 있습니다.","제가 mbti Isfp에 애니어그램 5w4는 어떤건가요??아무리 검색해봐도 안나오네요....isfp 4번과 9번이 많다고 하는데 ... "
"27",80649,"잇프피녀한테 답장오는법 있냐..","결국 이틀째 안읽씹이구나... 지난주에 만난뒤로..그전까지는 답장 꾸준히왔으면서.."
"28",80651,"미국이 참대단한나라라생각하는데",""
"29",80652,"나는 잇프피이지만 기버성향인듯","전에 애니어그램 했는데 2번나왔다내가 왜 남한테 항상퍼줄까 생각했는데 그게 애니어랑 관련있던거같다근데 남한테 퍼주기만하니까  이용하고 돌아오는게 없어서 속상한적이 있었다 그래서 요즘은 트라우마가 생겨서 덜퍼주긴하지만 그래도 나는 주는걸로 인해 기쁨이 생기는 인간인것같다. 어쩌면 내 기쁨을위해서 또는 상대가 기뻐하는것을 보기위해 퍼 주는것일지도모른다.내가 좋다고 생각하는것을 남이랑 나누고싶은 마음이 큰것같다."
"30",80653,"이런 고백 받으면 짜증나?","같이 일하는 여자애가 잇프피인데 내가 좋아하거든일단 걔도 나한테 인간적인 호감은 있는 것 같아.둘이 밖에서 밥도 먹고 가끔 맥주도 한잔 하기도 해.난 충분히 호감표현을 했다고 생각하는데, 얘가 알면서 모르는척 하는건지 그냥 내가 이성으로는 안보이는건지 싶어서 그냥 말하려고 하거든?난 너 이성적으로 좋아한다. 근데 뭐 지금 답을 해달라는건 아니고내 마음만 알아줬으면 좋겠다. 이런 뉘앙스로 말 하려는데 너희가 이런 경우면 어떨거 같아?"
"31",80654,"우린 왤케 낮가릴까..ㅠㅠ 남들보면 싹싹하게 금방금방 친해지던데","나도 이런 내가 싫은데 나도 싹싹하게 해보려고 억지로 텐션띄우면표정에서 다 티나나봐..ㅠㅠ 만나는 사람마다 i죠? 이럼.. ㅋㅋㅋㅋㅋㅋ낮안가리고 싹싹하게 스몰토크 잘하는 사람들 진짜 부럽다 ㅋㅋㅋㅋㅋ ㅠㅠ"
"32",80655,"isfp는 그냥 이기적인 성격임ㅋㅋ","자기는 남한테 바라는거 오지게 많은데자기가 그에 상응하는 대접을 해주지는 않음ㅋㅋ"
