"","num","title","content"
"1",21170,"평소 어디 나가질 않으니까 ㅋㅋㅋ","뭔가 밖에서 뭐라도 하지 않으면 왜 나가야 하는지 모르겠고 나가는거도 별로 안좋아함그래서 보고픈 친구한테 만나자고 하기도 힘듬..일단 만나서 뭘 할건가 생각을 하는데 자의적으로 어디 놀러 나가본적이 없어서 뭘 해야할지도 모르겠음밥먹고? 뭐함? 뭐 해야하지? 이러다보면 먼저 약속잡기가 힘들다ExxJ 친구들은 항상 먼저 만나자 하는데 알아서 계획 짜오거나 물어보고 정하고 나가니 놀기 좋은데 IxxP들이랑 놀기 힘들다~이번에 IxxP 친구 올만에 만나려고 계획중인데 밥먹고 뭐 해야할지 고민중..올만이라 좀 오래 만나고 싶은데 ㅋㅋㅋ얘가 외향형이였으면 얘가 이끄는대로 놀았을텐데 얘도 히키코모리라 안될거같아뭐하고 놀아야하지 ㅅㅂ ㅠㅠ"
"2",21171,"사회에 인프피 엔프피가 제일 많은 것 같다","내 주위만 이럴수도 있는데 유독 많음 희귀하다는 남자 인프피도 많이 봄"
"3",21172,"잇티제는 원래 바운더리 안 사람한테는 선물 많이 해줌?","뭔가 날 친하다고 생각하는 거니까 기분 좋긴 한데생각했던 것보다 더 퍼주는듯.. 이거 다 갚아야 하나? ㄷㄷ;; 허리 휠거 같은디"
"4",21175,"istj가 사내연애 했다는게 제일 신기함 ㅋㅋㅋㅋㅋ","  응 들어본적 없음 ㅋㅋㅋㅋㅋㅋㅋㅋ"
"5",21177,"요즘들어 꽤나 좆같은 부류","이걸 부류라고 봐야하나 문화라고 봐야하나친해진답시고 스몰토크 주도하면서 거의 무슨 호구조사 하는 새끼들그나마 일말의 눈치라도 있으면 다행인데 씨발 ㅋㅋ대답하기 좆같아서 어물쩡 넘어가면 집요하게 물고 늘어지거나 삐진 티 내는 새끼들은 진짜.. 없는 거 맞지?"
"6",21180,"진짜 너무너무 안 맞지만 손절할 수 없는 관계면 어떡함","본인 미자같은 학교 같은 반임작년에도 같은 반작년에 친해졌는데 그때는 내가 다 맞춰줌 (물론 걔도 맞춰 준 부분이 있겠지만 내가 생각하기엔 내가 더 많이 배려해줌)근데 맞춰주니까 얘가 날 만만하게 보는 게 느껴짐얘 전남친이랑 사귈 때도 전남친 무리가 나 멍청하고 만만하게 봐서 더 그런 것 같음 (친구가 걍 지입으로 말함… 걔네가 너 멍청하다고 해서 자기도 그렇게 생각했었다고)난 진심으로 손절하고 싶은데 일단 같은 반이고 계속 마주쳐야 하니까…일 년동안 참는 게 맞겠지?애초에 참는 거 말고는 방법이 없음그냥 하소연 하고 싶었다"
"7",21181,"잇티제도 사회화된 잇티제는 확실히 다른듯","Mbti 유행하기전인 한 10년전, 5년전부터 계속ISTJ만 나오는 사람인데사회생활을 꽤 해서 사회화가 많이 된거같음기계처럼 굴때도 많은데그래도 사람들 대할땐 감정 고려해주려고 신경많이쓰게되더라물론 원래 성향은 그냥 정해진 주어진 일 기계처럼 하는게 젤 좋은데어느샌가 인간적인 부분도 생기더라구물론 사회회됐지만선넘으면 칼손절하고 상당히 소수의 사람들과 깊게친하고다수의 사람과 어울리는거 별로 안좋아하고 이런 부분은 절대 변치않는듯"
"8",21184,"여자 istj 있음?","나도 istj인데내 친구가 istj 여자애 꼬시고 싶다고 맨날 뭐 물어봄뭐 어캐 대답 해줘야되냐이딴글 쓰고있는것도 웃기긴하다"
"9",21186,"요즘들어 다 때려부수고싶음","사소한거 하나하나 쌓이다보니 속 안에서 화가 되었음 그래서인지 진짜 작은걸로도 분노가 끓어오르고 손에 들고있는거 다 때려부수고 싶다나같은 애들 있냐 혹시? 이거 상담이라도 받으면 괜찮아져? "
"10",21187,"잇티제는 많이 가까워지면 궁금한 게 없나?","알아갈 땐 이것저것 물어보던데 요즘은 별로 안 궁금해한다 대화도 자기 흥미에 안 맞는 주제면 안읽씹하거나 할 말 없게 답장만 하고 좋아히는 얘기를 해도 잠깐 반짝하고 말더라 "
"11",21188,"ISTJ가 바라보는 ENFJ (썸)","* 친구 아니고 썸1. 연락 잘 됨. 일단 주제 하나 가지고도 끊임없이 연락 가능, 근데 주제 여러 개면 며칠간 줄카톡 가능2. 변태 기질 最上, 모든 ENFJ는 섹드립에 거침이 없고 야한 게 최고였음. - 성욕>>>식욕>수면욕 - 여태 겪어본 MBTI중 단연 탑임.- 근데 자기만족도 중요하지만 타인 만족에 자기가 흥분하는 경향이 더 큼3. 가스라이팅 잘함.  - 제 딴에는 배려라고 해명하지만, 그냥 그 정도의 의지가 없어서 안 한걸 '너가 싫어하니까' 라는 말로 포장함 (이런 말투가 성질처럼 박혀있음)4. 수동적임 - 상대 생각을 읽으려고 부단히 노력하는데 N 기질이 강해서 결국 캐치 못함 - 그래서 리드해 주면 다 따라옴. - 결론은 하나부터 열까지 그리고 고백도 내가 주도해야 됨- 니가 좋은게 내가 좋은거 : 이게 베이스5. 착하긴 진짜 착함 - 배려 잘하고, 인내심도 높고, 화낼 줄 모르고6. 자존감 높은데 낮음 - 스스로를 많이 사랑하고 잘난 거 인정하지만, 남 앞에서는 스스로를 낮추는 게 천성인 듯 - 좀 밖에선 겸손한 ENTP 느낌"
