"","num","title","content"
"1",176435,"자연석 돌 공예품 18cm",""
"2",176436,"폐가 함 가보고싶다 폐가탐방 유튜버마냥 ","귀신 나오는 흉가 ㄴㄴㄴ"
"3",176437,"새직장에 출근해서 일하는중인디","한넘이 초면에 반발 짓거림 "
"4",176438,"삼성이 국가 최고의 대기업이 된 이유","현자(賢者)."
"5",176439,"얼레? 뭔일로 오늘 이시간 좀 시원하대? 바람이라는 게 부네?","ㅋㅋㅋㅋㅋㅋㅋㅋ어제만해도 이 시간에도 더워 뒤젔는데 "
"6",176440,"설거지 해줄사람",""
"7",176441,"와 밥이 꿀맛이네","계란후라이 2장 스팸두조각 무말랭이반찬양배추썰어서 아몬드랑 같이 샐러드해서밥 왁팍팍팍 먹는데 진짜개맛있다밥다먹고 후식으로 크레아틴 간다태풍오면 근력해야지"
"8",176442,"이 분 부활 원하면 개추ㅠㅠㅠㅠ","J.TANK"
"9",176444,"자지내니....?","나는 잘살고있다노... "
"10",176445,"피곤",""
"11",176446,"NF들만 거르면되냐","NT는 그나마 ㄱㅊ은데"
"12",176448,"체불됐던 임금 들어옴","900이었는데 세금떼고 860 들어왔네"
"13",176450,"잇팁이랑 잘맞는게 뭐임?","인터넷에서는 estj esfj라는데 내짱친은 enfj고 개인적으로 이성은 estp가 끌리더라"
"14",176451,"홍준표 말하는거보면 잇팁같지 않냐","잇팁아니면 엣팁일듯"
"15",176452,"인생꿀팁) NF는 절대 만나지 마라.",""
"16",176454,"""널 알게 되고나서 전 연인과의 시간이 괴로웠어""","ISTP의 올바른 반응은?"
"17",176455,"nf 중에서도 nfj가 더 구림","nfp는 나한테 피해된다 싶으면 그냥 거르면 되는데 nfj는 기본적으로 남의식 하는게 심해서자길 좀 안좋게 생각하거나 특히 enfj는 자기한테 관심 집중 안되면 정병 발동해서 시비 걸고 다님차라리 nfp는 날 싫어해? 왜? ㅠㅠ 이러고 귀엽게? 투정부리는 수준이지nfj는 신경 안쓰는척 쿨한 척 하면서 속으로는 상대방의 말투, 표정, 행동, 사고방식을 하나하나 훝어봄뭐 걸리는 거 없나 하고왜냐면 얘들은 남들이 자길 '그냥' 싫어할수도 있다는걸 못 받아들이거든그래서 어떻게든 상대방을 무례한, 도덕적으로 결함 있는, 타인의 진심을 알아볼 줄 모르는 속물적인 인간 따위로 격하 시키려고 마치 며느리한테 뭐 걸리는거 없나 도끼눈 치켜드는 시애미 같음"
"18",176456,"유추","https://youtube.com/@sweetshop_s2"
"19",176457,"ㅅㅂ 살거 존나 많노","생필품 왤케 빨리 떨어지노  "
"20",176458,"여자들아 키 몇부터 작다고 안느끼냐","ㅈㄱㄴ"
"21",176460,"완장들아 갤관리좀 해야지 않겠냐 이제?","어디 포탈 열린거마냥 씹스러운 애들만 계속 기어나오더니"
"22",176461,"다시잔다",""
"23",176462,"잇팁들아 니 친구가 너무 한심하게 살면 어떰? ","원래 내가 남 인생 진짜 관심 없긴 함"
"24",176463,"니들이랑 어떻게 친해질 수 있을까","난 인팁"
"25",176464,"나이먹는게 무섭다",""
"26",176465,"IT 전산 관련 강의하는 선생들 특. ","초반엔 학생들 수준 맞춰서 천천히 천천히 설명하면서 해주다가"
"27",176466,"전남목포사람인데 잇팁이새끼들 일베존나심하네","심지어 지가 전남사람인데 전라도깐다는 병신도있고. 그냥 정치적으로 이용하는거를 어 그런가? 가스라이팅 처당해서 즈그고향도 욕보이냐; 그렇게 따지면 옛날부터 서울은 정없고 충청도는 멍청하고 경상도는 무식하고 전라도는 비열하다는 지역특성 다까던가ㅋ 지욕처먹는거무서워서 즈그고향처팔아먹네ㅉ 내가 봐도 전라도가 교육받기 수도권보다 열악해서 좀 더 보수적이고 배우기 좀 어려운건 있는데 느그고향 팔아먹지는 마라. 나도 사람은 서울로 상경하란말 동의하는데, 부모 얼굴에 먹칠 처하는 부끄러운짓은 하지말자."
"28",176467,"상대가 호감 없으면 나도 호감 안생기지 않음?","난 호감 표시도 1도 안했는데 다짜고짜 좋아한다고 말하는 새끼들은 이해가 안됨"
"29",176468,"선민의식 있는 애들하고는 가깝게 못지낼듯","이미 지들끼리 ㅈㄴ 친하고 새로 둘어온 사람들은챙겨줄 생각 단 한번도 해본적도 없었으면서 말없고 묵묵하고 혼자인 사람은 사회성 부족이라고그 당사자 앞에서는 말 절대 못하고 뒤에서나불거리는거 보고 왜 저렇게 사는건지 ㅈㄴ 음침하다는생각말고 안듦..걍 애잔하기도 하면서 자존감 낮고자기 인생에 불만이많으니 죄없는남을 까서라도자존감 채워가며 추하게 사는거구나 하고 느낀다"
"30",176470,"방역이 필요한가?",""
"31",176471,"꺼억","아침밥 김지찌개 "
"32",176472,"내가 나서겠따",""
"33",176475,"퇴원 기모띠","시박 병원에서 병을 더 키운느낌"
"34",176476,"비율에서 머리크기 얼굴크기","머리크기가 중요하냐 얼굴 크기가 중요하냐. 둘다 중요한건 아는데 뭐가 더 영향끼침?"
"35",176477,"더워서 집에서 못나가겟음","담배필때랑 밥으러갈때빼고 지금 못나감 ㅅㅂ"
"36",176478,"여기 유난히 이상한 거 맞지?","파트알바임.- 임금체불, 사유는 세무사 핑계, 주말 핑계(주말에 안 껴있을 때도)- 본인(책임자)이 미리 해놓고 나면 연/락할 일 없는데 안해놓고ㅋㅌ으로 연/락 미리 넣어놔도, 안보고 버티다가 닥쳐서 전화하면 화내거나, 임기응변으로 해결하게 하고 사과 없음.그 미리 해놓는 일의 수준이 어려운 게 아니라 5분(사실 1~2분) 정도면 해결될 일임- 건강 안좋다고 두달 전에 언질했는데 건강 악화되고 상황도 안정된 것 같아서(사람 안구해져서 비상이었음) 그만둔다고 하니까 어떻게든 일 더 오래 시키려고 붙잡아두려고 함.붙잡는 방식이 더 해줬으면 좋겠다가 아니라 '그래야한다' 식으로 나옴.- 지엽적인 걸로 사람 몰아세움. 근데 본인이 뭔가 안했을 때, 똑같이도 아니고 왜 안되어있냐고 이쪽에서 물어보면 아예 답이 없음.오래 일하다간 가스라이팅 당할 것 같음. 좋게 좋게 하려다보니 벌써 당했는지도 모르고..."
"37",176479,"이 시발 수강신청 ","로그인 잘되다가 갑자기 로그아웃 되서 "
"38",176481,"내가 개 ㅂㅅ 취급하는 새기들","ie tf 로 거르는거 제외하고 "
"39",176482,"잇팁이 병신인 이유","이딴글은 놔두면서  별 쓸데없는 연oㅐ글은 짜름  "
"40",176483,"라도는 약간 시원한듯","외국이라그런가? 내 지역보다 약간 살만하긴씨발 존나게덥네미친 개좆같은거씨발"
"41",176484,"한국의 식민지였던 곳",""
"42",176487,"완장괴롭히지마라","시발련들아"
"43",176488,"완장 괴롭히지 마 씨발년아","여!친도 없는데 혼자 딸딸이 칠 시간은 줘야할거 아냐 "
"44",176489,"완장은 왜 여111친이 없음","ㅇㅇ?"
"45",176490,"시비거는건 무슨 의미임?","가끔 자학발언 하는데 ㅁㅈ너 진짜 그래 이런식으로 해서 일부러 사람 신경 긁음 걍 자학이 맘에 안드는거?"
"46",176492,"딸치는데 부르지마","우리 완장 쌍수딸잽이라규 "
"47",176493,"잇팁 나태지옥에","떨어뜨리기"
"48",176494,"다이어트에 진짜 쥐약은 탄수화물이 아니라 당임;; ","다이어트할 때 단 음료수, 과자 초콜렛 같은 건 걍 입에 댔다 하는 순간 끝남"
"49",176496,"난 걍 FJ들이랑 만날땐 아예 입을 닥치고 있음","그게 속 편함"
"50",176497,"완장 사는주소 공개","식겁한 완장이면 개추"
"51",176498,"점점 발전하는 것에 의의를 둔다","금연, 금주, 다이어트, 별개로 준비하는 것들 "
"52",176499,"엔프제 좆같지 않냐","첫인상부터 일단 나랑 결 안맞을거라 생각했는데점점 알게될수록 이사람이 더 싫어짐물론 데이터 많이 축적된건 아니지만 지금까진 이랬음"
"53",176500,"국뽕 캬 시발 ","미 국무부에서도 예의주시하는 그 곳 ㄷㄷ "
"54",176501,"진짜 땀 존나남","얼굴 다 무너짐 화장 하지말걸 하아"
"55",176502,"5년전에 돈주고 검사한거 infp였는데","요즘에 인터넷에서 간단하게 하는 검사는 계속 istp로 나온다  "
"56",176503,"enfj는 진짜 제일 이해 안가는 유형임","항상 자기는 진심이었고자기가 희생하고 자기가 피해본다는 사고방식+ 자기 마음, 생각 말안하면서 상대가 알아주기를 바라는것까지내가 만난 enfj는 다 이랬음모두에게 사랑받아야 한다는 생각에 미쳐버린건지내 머리론 도저히 이해 못하겠다"
"57",176504,"반팔을 샀는데","이게 재질은 편한데 소매가 ㅈㄴ 널널해서 "
"58",176505,"비온다","추적추적 "
"59",176507,"긴팔에 경량패딩 뭐냐","여자 급식이 이래 입고 있던데 뭐노"
"60",176508,"짬뽕에 탕수육 먹고싶은데","오늘 저녁 부추전에 골뱅이무침소면이래"
"61",176510,"잇팁특 존나 못생김","근데 지가 잘난줄앎 "
"62",176511,"육수 뿜는다","홍어탕 되는중 "
"63",176512,"여기 잇팁은 존나 병신 같음","ㅈㄱㄴ"
"64",176513,"bucket list","인간 해부 해보고 싶음근데 현실적으로 불가능할듯.."
"65",176514,"영밴리스트 등재된 전주딱 병신아 꺼져라.",""
"66",176515,"괴기먹어야지","헤헤 "
"67",176516,"그 노무현도배","전주딱인가??"
"68",176517," 꽈자 좋아하면 애새끼임?","ㅠㅠ"
"69",176519,"아 뒤질거 같다 ","아 불지옥에 청소함 ㅅㅂ 아파 뒤지겠노  "
"70",176521,"난 병신이 아니에요","예 "
"71",176522,"아우 더워","형아 더워 "
"72",176523,"개씨발 스트레스 받게 하지 말아줘",""
"73",176524,"정신과약복용중 ","ㄹㅇ 롤하다가 괴성지르는게 일상이였는데 성격이 뭔가 침착해지고 자비로워짐 "
"74",176525,"전주딱 전전주딱이 뭔데 이 씹덕들아","야스나 해라 이기~ㅋㅋㅋㅋㅋ"
"75",176526,"통차걸었습니다",""
"76",176528,"근퇴후운동완","살거같누 "
"77",176529,"내 섹스썰 들려줌","  "
